ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,method,direction,database,category,subcategory,pathway
hsa05417,Lipid and atherosclerosis,31/652,216/9423,0.14351851851851852,2.074194785276074,4.354332971654879,7.841517966339995e-5,0.00202673079745402,0.0016762435166913,91860/4067/818/3606/355/805/5606/7187/4615/5331/317/834/3949/2921/1535/2919/3717/9641/1573/4688/29108/2920/4314/414062/8503/7124/337/6403/3383/6348/338,31,FDR,B_higher,KEGG,Human Diseases,Cardiovascular disease,Lipid and atherosclerosis
hsa04062,Chemokine signaling pathway,28/652,193/9423,0.14507772020725387,2.0967290759401123,4.197086826806564,1.426904255476167e-4,0.0034245702131428,0.00283235130410306,6359/58191/4067/5331/6362/2921/113/2919/1235/3717/6772/3579/6364/3627/2920/3055/414062/6374/8503/1230/6357/10344/5196/6348/6370/6373/2268/4283,28,FDR,B_higher,KEGG,Organismal Systems,Immune system,Chemokine signaling pathway
hsa04979,Cholesterol metabolism,12/652,52/9423,0.2307692307692308,3.3351816894761677,4.603627459021867,1.7213451646960924e-4,0.00365321716190035,0.00302145780307547,949/255738/9388/4035/3949/64240/27141/344/64241/345/337/338,12,FDR,B_higher,KEGG,Organismal Systems,Digestive system,Cholesterol metabolism
hsa00591,Linoleic acid metabolism,9/652,31/9423,0.2903225806451613,4.195873738373244,4.859171308935962,1.7396272199525487e-4,0.00365321716190035,0.00302145780307547,50487/5321/255189/5320/1573/151056/1576/283748/84647,9,FDR,B_higher,KEGG,Metabolism,Lipid metabolism,Linoleic acid metabolism
hsa04621,NOD-like receptor signaling pathway,27/652,187/9423,0.1443850267379679,2.086717955447656,4.092290696101458,2.0229255648534483e-4,0.00398560746711277,0.00329636707806319,4940/3606/260434/4938/7187/4615/11035/5331/10392/2633/834/90550/7226/2635/2921/1535/2919/4939/9641/118429/6772/29108/2920/64127/64170/7124/1668,27,FDR,B_higher,KEGG,Organismal Systems,Immune system,NOD-like receptor signaling pathway
hsa04657,IL-17 signaling pathway,17/652,94/9423,0.18085106382978725,2.6137416786320324,4.286977344468545,2.1351468573818443e-4,0.00398560746711277,0.00329636707806319,5597/7187/2921/2919/9641/6280/6364/3627/2920/4314/6374/3934/27189/1437/6279/7124/727897,17,FDR,B_higher,KEGG,Organismal Systems,Immune system,IL-17 signaling pathway
hsa05323,Rheumatoid arthritis,17/652,95/9423,0.17894736842105263,2.5862286083306425,4.236469699541695,2.4369988477562473e-4,0.00430964006761104,0.00356436396569334,8792/3606/2921/10673/2919/6364/2920/4314/414062/6374/1437/3123/7124/3383/6348/3126/3125,17,FDR,B_higher,KEGG,Human Diseases,Immune disease,Rheumatoid arthritis
hsa05166,Human T-cell leukemia virus 1 infection,30/652,224/9423,0.13392857142857142,1.935596516213847,3.863786209218976,3.518572708524894e-4,0.00591120215032182,0.00488896418447669,2114/11200/890/9700/4085/1870/1111/991/6776/9133/701/9232/1026/113/4488/3561/84699/9134/6722/1869/894/4487/1437/8503/4316/3123/7124/3383/3126/3125,30,FDR,B_higher,KEGG,Human Diseases,Infectious disease: viral,Human T-cell leukemia virus 1 infection
hsa04115,p53 signaling pathway,14/652,75/9423,0.18666666666666668,2.6977914110429446,4.024634116440364,5.425647744676296e-4,0.00868103639148207,0.00717980453430848,5268/355/11200/51512/6241/2810/1111/891/317/9133/1026/9134/894/83667,14,FDR,B_higher,KEGG,Cellular Processes,Cell growth and death,p53 signaling pathway
hsa05146,Amoebiasis,17/652,103/9423,0.1650485436893204,2.385356483411758,3.8542775911319183,6.499987735637016e-4,0.00947664851856999,0.0078378296018248,5269/3918/5331/2921/2919/3315/384/10319/2769/2920/4843/1437/8503/733/7124/5272/4583,17,FDR,B_higher,KEGG,Human Diseases,Infectious disease: parasitic,Amoebiasis
