ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,35/492,199/4384,0.17587939698492464,1.5671855211014423,2.9112923136509665,0.004036487964109343,0.014903955559788344,0.010132075051610498,ARHGAP27/CEP72/AURKA/ECT2/ESPL1/KIF22/KIF4A/ANLN/BUB1/NEDD9/KIF1B/BIRC5/NEK2/KIF23/FGD6/RASAL2/TOP2A/CENPE/KIF20B/INCENP/TPX2/DLGAP5/CCNB2/CDC42EP2/EPB41L2/RACGAP1/PRC1/STK38L/KIF11/CENPF/KIF15/BRCA2/PIF1/FBXO5/NUSAP1,35
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,15/492,74/4384,0.20270270270270271,1.8061964403427817,2.486565890690679,0.01563032460233614,0.053589684350866765,0.036431583659580484,CXCL16/CD9/SCD/STARD4/TNFRSF12A/LGALS3/MVD/FBXO6/LDLR/PLAUR/SQLE/ANTXR2/ANXA13/ADH4/ETHE1,15
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,32/492,200/4384,0.16,1.4256910569105692,2.190763805974103,0.02263947674316708,0.07244632557813466,0.0492507915114512,LYN/IL18/FAS/TIMP1/ACHE/CTSS/BRCA1/TAP1/LIF/IL2RG/LY75/C2/CCND2/JAK2/GZMB/STAT1/NOS2/TLR1/EREG/CCR1/CCL13/TNF/PF4/ICAM1/IL4R/IGSF6/INHBA/FGR/GPR65/CXCL9/IRF4/MMP9,32
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,26/492,161/4384,0.16149068322981366,1.4389738928445186,2.017543746709753,0.03393018540540748,0.10179055621622243,0.06919972023471263,GCH1/IL18/FAS/ANXA1/TIMP1/CDC25B/EMP1/TNFRSF12A/LGALS3/NEDD9/KRT18/TOP2A/CASP1/HMOX1/BRCA1/ERBB3/TAP1/CDKN1A/HSPB1/IRF1/CCND2/GNA15/EREG/TNF/LEF1/CD38,26
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,31/492,200/4384,0.155,1.3811382113821138,1.9614783656238721,0.03653428285164673,0.10315562216935548,0.07012772559758816,SCARB1/SLC27A2/KRT19/ITPK1/CLDN7/SLC37A1/SFN/AREG/MICB/KRT15/TFF3/KRT18/CANT1/MYOF/TFAP2C/FHL2/SVIL/RHOD/BCL11B/PAPSS2/MYB/TGM2/MREG/JAK2/SULT2B1/BHLHE40/PDZK1/TMPRSS3/ELOVL5/ANXA9/P2RY2,31
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,24/492,158/4384,0.1518987341772152,1.353504167953072,1.608941325722929,0.07347653914937949,0.19593743773167863,0.13320308266846576,CHRNA5/BAK1/LYN/NAT1/GCH1/EPCAM/SLC6A8/CCK/GAL/CLCN2/FEN1/HMOX1/TAP1/ONECUT1/IRF1/SLC6A12/CXCL2/MSX1/TFRC/DGAT1/ICAM1/RRAD/FOSB/CYP1A1,24
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,29/492,200/4384,0.145,1.2920325203252032,1.5029074849234105,0.08574874014209417,0.21662839614844842,0.14726930439916455,IL32/FAS/TIMP1/SLC6A8/LAMC2/TNFRSF12A/BMP1/AREG/TNFRSF11B/MEST/LRP1/ECM1/PRSS2/TGM2/PLAUR/CXCL1/ITGA2/NID2/ANPEP/MSX1/MMP3/TFPI2/NT5E/PDLIM4/THBS2/SPP1/INHBA/SERPINE2/SCG2,29
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,28/492,200/4384,0.14,1.2474796747967483,1.2736220445731798,0.12468444906975426,0.28499302644515256,0.19374525920613445,UPP1/SERPINB5/ST14/BAK1/S100A10/FAS/IER5/SFN/VDR/EPHA2/SLC35D1/TM4SF1/APAF1/CASP1/HMOX1/TAP1/LIF/CDKN1A/PTPRE/MXD1/TNFSF9/CCND2/HSPA4L/KLK8/PROCR/OSGIN1/KRT17/RRAD,28
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,28/492,200/4384,0.14,1.2474796747967483,1.2736220445731798,0.12468444906975426,0.28499302644515256,0.19374525920613445,UPP1/ETS2/GCH1/XDH/FAS/EPHA2/DDC/CYP4F2/SLC35D1/HMOX1/RBP4/PAPSS2/KYNU/ACOX2/VNN1/HSD17B2/SLC6A12/FABP1/ARG2/CYP2J2/TDO2/AQP9/HNF4A/ELOVL5/TMEM176B/SLC46A3/CCL25/CYP1A1,28
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,7/492,44/4384,0.1590909090909091,1.4175905395417592,0.9897237583005443,0.21835371979352997,0.47640811591315624,0.32387393844973356,LYN/AFAP1L2/PCSK9/BRCA1/PLAUR/IL2RG/HSPB1,7
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,5/492,36/4384,0.1388888888888889,1.2375790424570914,0.5088578530019189,0.37919565713432135,0.7578023723590886,0.5151726654195559,TIMP1/CCND2/MSX1/SPP1/PF4,5
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,24/492,200/4384,0.12,1.0692682926829267,0.3564802831722566,0.394688735603692,0.7578023723590886,0.5151726654195559,ANXA2/LDHA/ADORA2B/PGM2/SCARB1/XPNPEP1/PFKP/KDELR3/EXT1/F3/MAFF/HMOX1/CDKN1A/HS3ST1/TGM2/PLAUR/SULT2B1/BHLHE40/HOXB9/RRAGD/EFNA3/SLC2A5/LDHC/PCK1,24
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,24/492,200/4384,0.12,1.0692682926829267,0.3564802831722566,0.394688735603692,0.7578023723590886,0.5151726654195559,DHFR/LDHA/PPA1/CD9/AURKA/MAP2K3/SCD/CCNF/STARD4/RRM2/CDC25A/BUB1/POLR3G/CTSC/LDLR/MCM4/CDKN1A/DAPP1/SQLE/BHLHE40/ELOVL5/TFRC/FGL2/PIK3R3,24
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,5/492,40/4384,0.125,1.113821138211382,0.2570927812490426,0.47165154550977384,0.8707413147872748,0.5919513324211737,VDR/DPP4/PAX6/INSM1/GCG,5
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,12/492,105/4384,0.11428571428571428,1.0183507549361208,0.06766425627992587,0.5199154025997732,0.9242940490662634,0.6283577965143459,RPS6KA3/CFL1/MAP2K3/RPS6KA1/SFN/MYD88/NOD1/CDKN1A/DAPP1/IL2RG/E2F1/PIK3R3,12
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,4/492,36/4384,0.1111111111111111,0.990063233965673,-0.021283028072323608,0.5871543239503251,0.9825324688981439,0.6679497047333874,ETS2/ACHE/PML/SCG2,4
