ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,method,direction,database,category,subcategory
GO:0006935,chemotaxis,69/1161,474/18860,0.14556962025316456,2.364722685594043,7.70710062563501,1.9957555110174233e-11,4.640565423009209e-9,3.589619752081681e-9,CCL15/CCRL2/CXCL16/LYN/PTAFR/TNFRSF11A/ANXA1/S100A14/CKLF/LGALS3/EDN3/F3/EPHA2/NEDD9/CCL18/MCU/TRPM2/BST1/F2RL1/CXCL3/CMTM1/PLD1/PLAUR/SAA1/CXCL1/FFAR2/HSPB1/MDK/CCR6/PADI2/ITGA2/PLA2G7/SEMA7A/DPP4/S100A9/CXCR2/CCL20/CXCL10/CXCL2/CMTM2/S100A12/CCL3L3/C5AR1/CXCL5/FPR2/HOXB9/ADAM8/RIN3/NCKAP1L/CCR1/S100A8/CCL13/LEF1/SLAMF8/FPR1/CCL26/TREM2/PF4/TNFAIP6/CCL3/CCL25/CXCL11/SCG2/SEMA6A/CXCL9/PROK2/DEFB4A/CH25H/DPEP1,69,Nominal,B_higher,GO_BP,NA,NA
GO:0006641,triglyceride metabolic process,29/1161,112/18860,0.25892857142857145,4.206195398055864,8.716107958782878,2.2019862120947182e-11,4.9067592759510645e-9,3.795528865584317e-9,SCARB1/MFSD2A/PCSK9/LIPG/CIDEC/APOBEC1/AGPAT2/MGLL/FITM2/APOBR/LDLR/PNPLA3/GK5/GK/LPGAT1/MOGAT3/CPS1/AGMO/CIDEB/PCK2/APOC2/MOGAT2/MTTP/DGAT1/PLB1/APOC3/APOA4/APOB/PCK1,29,Nominal,B_higher,GO_BP,NA,NA
GO:0042330,taxis,69/1161,476/18860,0.14495798319327732,2.354786875990707,7.667530763175421,2.422880138441225e-11,5.1801500401861e-9,4.007005010811985e-9,CCL15/CCRL2/CXCL16/LYN/PTAFR/TNFRSF11A/ANXA1/S100A14/CKLF/LGALS3/EDN3/F3/EPHA2/NEDD9/CCL18/MCU/TRPM2/BST1/F2RL1/CXCL3/CMTM1/PLD1/PLAUR/SAA1/CXCL1/FFAR2/HSPB1/MDK/CCR6/PADI2/ITGA2/PLA2G7/SEMA7A/DPP4/S100A9/CXCR2/CCL20/CXCL10/CXCL2/CMTM2/S100A12/CCL3L3/C5AR1/CXCL5/FPR2/HOXB9/ADAM8/RIN3/NCKAP1L/CCR1/S100A8/CCL13/LEF1/SLAMF8/FPR1/CCL26/TREM2/PF4/TNFAIP6/CCL3/CCL25/CXCL11/SCG2/SEMA6A/CXCL9/PROK2/DEFB4A/CH25H/DPEP1,69,Nominal,B_higher,GO_BP,NA,NA
GO:0031640,killing of cells of another organism,32/1161,135/18860,0.23703703703703705,3.850575812677449,8.51313739023295,2.6152589956062958e-11,5.1801500401861e-9,4.007005010811985e-9,SFN/LGALS3/MYD88/MICB/SEMG1/GBP1/CCL18/GBP3/F2RL1/CXCL3/CXCL1/PLA2G2A/NTS/C2/GZMB/APOL1/CCL20/CXCL10/CXCL2/S100A12/KRT6A/C8G/CCL13/PF4/CCL25/CXCL11/FCN1/DEFA3/CXCL9/DEFA5/DEFB4A/DEFA6,32,Nominal,B_higher,GO_BP,NA,NA
GO:0141061,disruption of cell in another organism,32/1161,135/18860,0.23703703703703705,3.850575812677449,8.51313739023295,2.6152589956062958e-11,5.1801500401861e-9,4.007005010811985e-9,SFN/LGALS3/MYD88/MICB/SEMG1/GBP1/CCL18/GBP3/F2RL1/CXCL3/CXCL1/PLA2G2A/NTS/C2/GZMB/APOL1/CCL20/CXCL10/CXCL2/S100A12/KRT6A/C8G/CCL13/PF4/CCL25/CXCL11/FCN1/DEFA3/CXCL9/DEFA5/DEFB4A/DEFA6,32,Nominal,B_higher,GO_BP,NA,NA
GO:0033046,negative regulation of sister chromatid segregation,19/1161,50/18860,0.38,6.172954349698536,9.380593697895977,4.188277854148343e-11,7.2254548270920465e-9,5.589111024381321e-9,TRIP13/ZWILCH/SKA1/MAD2L1/CDCA8/SPC25/BUB1/SKA3/NUF2/BIRC5/CCNB1/CDC20/INCENP/BUB1B/CENPF/ZWINT/SPC24/GEN1/FBXO5,19,Nominal,B_higher,GO_BP,NA,NA
GO:0033048,negative regulation of mitotic sister chromatid segregation,19/1161,50/18860,0.38,6.172954349698536,9.380593697895977,4.188277854148343e-11,7.2254548270920465e-9,5.589111024381321e-9,TRIP13/ZWILCH/SKA1/MAD2L1/CDCA8/SPC25/BUB1/SKA3/NUF2/BIRC5/CCNB1/CDC20/INCENP/BUB1B/CENPF/ZWINT/SPC24/GEN1/FBXO5,19,Nominal,B_higher,GO_BP,NA,NA
GO:0045841,negative regulation of mitotic metaphase/anaphase transition,19/1161,50/18860,0.38,6.172954349698536,9.380593697895977,4.188277854148343e-11,7.2254548270920465e-9,5.589111024381321e-9,TRIP13/ZWILCH/SKA1/MAD2L1/CDCA8/SPC25/BUB1/SKA3/NUF2/BIRC5/CCNB1/CDC20/INCENP/BUB1B/CENPF/ZWINT/SPC24/GEN1/FBXO5,19,Nominal,B_higher,GO_BP,NA,NA
GO:2000816,negative regulation of mitotic sister chromatid separation,19/1161,50/18860,0.38,6.172954349698536,9.380593697895977,4.188277854148343e-11,7.2254548270920465e-9,5.589111024381321e-9,TRIP13/ZWILCH/SKA1/MAD2L1/CDCA8/SPC25/BUB1/SKA3/NUF2/BIRC5/CCNB1/CDC20/INCENP/BUB1B/CENPF/ZWINT/SPC24/GEN1/FBXO5,19,Nominal,B_higher,GO_BP,NA,NA
GO:0050892,intestinal absorption,18/1161,45/18860,0.4,6.497846683893195,9.45687929262416,4.9531368424642496e-11,8.277929947968378e-9,6.403232825948849e-9,VIL1/CLDN2/GCNT3/SCARB1/PLS1/VDR/ADRA2A/LDLR/SLC5A1/NPC1L1/ABCG5/FOLH1/CLDN15/ABCG8/MOGAT2/FABP2/SLC2A5/APOA4,18,Nominal,B_higher,GO_BP,NA,NA
