category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,5/461,63/9423,0.07936507936507936,1.622249767585993,1.1238714433369452,0.1940982320401712,0.6238871744148361,0.5566512132623601,8322/4616/10297/7475/8325,5
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,13/461,204/9423,0.06372549019607843,1.3025711369146358,0.9908780687438942,0.19956287151476873,0.6349727730015369,0.5665421232795668,3480/8322/2066/1956/27250/2719/7475/22808/5567/8325/10451/7078/816,13
Cellular Processes,Transport and catabolism,hsa04136,Autophagy - other,3/461,32/9423,0.09375,1.9162825379609545,1.177519266685622,0.2046656768820917,0.6383491849287973,0.5695546612397291,23710/9706/285973,3
Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,11/461,169/9423,0.0650887573964497,1.3304367916415305,0.9830747563855661,0.20519260340747267,0.6383491849287973,0.5695546612397291,3480/23710/3920/664/5563/8408/9706/338382/22808/5567/285973,11
Metabolism,Amino acid metabolism,hsa00280,"Valine, leucine and isoleucine degradation",4/461,48/9423,0.08333333333333333,1.7033622559652928,1.107984239216212,0.20670354559599152,0.6383491849287973,0.5695546612397291,4329/587/5019/38,4
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,9/461,135/9423,0.06666666666666667,1.3626898047722344,0.9626328355705737,0.2153842494957066,0.6527262799241105,0.5823823449949457,10242/5319/8398/133/107/5567/10267/147/1906,9
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,4/461,49/9423,0.08163265306122448,1.668599760945593,1.0641952723532908,0.21708536763125152,0.6527262799241105,0.5823823449949457,26086/2770/5567/6571,4
Metabolism,Global and overview maps,hsa01210,2-Oxocarboxylic acid metabolism,3/461,33/9423,0.09090909090909091,1.8582133701439558,1.1200540810893056,0.21757542664137017,0.6527262799241105,0.5823823449949457,587/84706/3418,3
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,4/461,50/9423,0.08,1.6352277657266812,1.02139730896845,0.22760512312362166,0.6693778322608299,0.5972393691349762,1152/1160/1158/57571,4
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,4/461,50/9423,0.08,1.6352277657266812,1.02139730896845,0.22760512312362166,0.6693778322608299,0.5972393691349762,10873/3945/38/131,4
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,5/461,67/9423,0.07462686567164178,1.5253990351927993,0.9788161098602356,0.22950097106085598,0.6693778322608299,0.5972393691349762,8789/3945/131/5224/218,5
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,10/461,157/9423,0.06369426751592357,1.301932934495765,0.8652342630911976,0.23928045183032084,0.6848855804143346,0.611075856209281,4773/10396/2057/6446/64284/8398/338382/51761/55576/816,10
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,10/461,157/9423,0.06369426751592357,1.301932934495765,0.8652342630911976,0.23928045183032084,0.6848855804143346,0.611075856209281,8200/8322/10297/7475/126374/79981/6657/7043/8325/174,10
