category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Metabolism of cofactors and vitamins,hsa00760,Nicotinate and nicotinamide metabolism,3/652,38/9423,0.07894736842105263,1.1409832095576364,0.2374175644349257,0.4948197446659415,0.8478470118752084,0.7012268519268642,683/4907/952,3
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,11/652,154/9423,0.07142857142857142,1.0323181419807186,0.11024555705196794,0.5019154525454097,0.8478470118752084,0.7012268519268642,3918/55612/3673/894/3696/10319/255743/8503/7058/6696/3383,11
Metabolism,Glycan biosynthesis and metabolism,hsa00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,2/652,24/9423,0.08333333333333333,1.2043711656441718,0.2733098037608202,0.5021474861999002,0.8478470118752084,0.7012268519268642,2131/9957,2
Metabolism,Metabolism of terpenoids and polyketides,hsa00900,Terpenoid backbone biosynthesis,2/652,24/9423,0.08333333333333333,1.2043711656441718,0.2733098037608202,0.5021474861999002,0.8478470118752084,0.7012268519268642,23590/4597,2
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,6/652,82/9423,0.07317073170731707,1.0574966332485412,0.14256845640827456,0.5051372073464417,0.8486305083420221,0.701874856523477,1520/6890/3123/7124/3126/3125,6
Metabolism,Metabolism of cofactors and vitamins,hsa00670,One carbon pool by folate,3/652,39/9423,0.07692307692307693,1.1117272298253895,0.1906198516569703,0.5124821028261503,0.8566865002466989,0.7085377069709541,1719/7298/25902,3
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,21/652,301/9423,0.06976744186046512,1.0083107433300043,0.03995295221718511,0.5176735930780436,0.8595428206817993,0.7109000772556235,6197/355/5606/994/6195/4615/374/1969/1326/5321/11221/255189/2065/3315/5801/6722/1847/2069/1944/7124/283748,21
Metabolism,Amino acid metabolism,hsa00270,Cysteine and methionine metabolism,4/652,54/9423,0.07407407407407407,1.0705521472392638,0.14175268333317853,0.5193071208285871,0.8595428206817993,0.7109000772556235,3939/10993/259307/3948,4
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,5/652,70/9423,0.07142857142857142,1.0323181419807186,0.07399301598765863,0.5376446664621821,0.8855323918200646,0.7323952112797527,1604/3123/3383/3126/3125,5
Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,3/652,41/9423,0.07317073170731707,1.0574966332485412,0.10059060527892043,0.546791490133073,0.8962045887059148,0.7412218402830875,1870/1026/1869,3
Organismal Systems,Endocrine system,hsa04916,Melanogenesis,7/652,101/9423,0.06930693069306931,1.0016552268723806,0.0045596809821097295,0.554642572120779,0.9014516869558403,0.7455615456025747,91860/818/805/5331/113/84699/51176,7
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,14/652,205/9423,0.06829268292682927,0.9869968576986384,-0.051318941050519665,0.5607623156868454,0.9014516869558403,0.7455615456025747,578/4067/890/7187/1111/991/6502/6776/1026/84699/9134/6722/894/8503,14
Metabolism,Global and overview maps,hsa01212,Fatty acid metabolism,4/652,57/9423,0.07017543859649122,1.0142072973845655,0.029332063367712845,0.5627747874303176,0.9014516869558403,0.7455615456025747,6319/51703/10449/60481,4
Organismal Systems,Immune system,hsa04622,RIG-I-like receptor signaling pathway,5/652,72/9423,0.06944444444444445,1.0036426380368098,0.008459097491620722,0.5631773664423796,0.9014516869558403,0.7455615456025747,7187/9636/9641/3627/7124,5
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,3/652,42/9423,0.07142857142857142,1.0323181419807186,0.05722914453552272,0.5634073043474002,0.9014516869558403,0.7455615456025747,51703/3162/7037,3
Human Diseases,Cancer: specific types,hsa05218,Melanoma,5/652,73/9423,0.0684931506849315,0.9898941087486343,-0.023632030444517563,0.5756731895936049,0.9150817993344929,0.7568345708781521,578/1870/1026/1869/8503,5
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,9/652,133/9423,0.06766917293233082,0.9779856081922597,-0.06971005854845924,0.5773730400562871,0.9150817993344929,0.7568345708781521,10733/891/6502/9133/1026/894/5106/8503/5105,9
Human Diseases,Cancer: specific types,hsa05213,Endometrial cancer,4/652,59/9423,0.06779661016949153,0.9798273889986482,-0.042376804954844326,0.5905265697014941,0.9315348705150328,0.7704423741101777,578/1026/8503/51176,4
Organismal Systems,Endocrine system,hsa04918,Thyroid hormone synthesis,5/652,75/9423,0.06666666666666667,0.9634969325153375,-0.0865309423748649,0.6000869096580366,0.9421925310518705,0.7792569805692162,5331/113/9601/84699/483,5
Organismal Systems,Sensory system,hsa04744,Phototransduction,2/652,29/9423,0.06896551724137931,0.9967209646710387,-0.004821593680066812,0.6059111487799613,0.9469123069305442,0.7831605546042095,91860/805,2
