category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,8/458,70/9423,0.11428571428571428,2.3513412351840297,2.5648839739366944,0.019686670815094242,0.19379066583608395,0.17290595748783433,2940/2946/1558/2941/6822/2953/653689/2947,8
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,4/458,23/9423,0.17391304347826086,3.5781279665843932,2.797909115371453,0.0233859891913945,0.2232298968269475,0.19917253952479527,762/27165/482/6550,4
Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,7/458,60/9423,0.11666666666666667,2.4003275109170303,2.4593870197749106,0.02555475133447643,0.23675725501059047,0.2112420621147123,5733/50486/2770/107/5567/154/4852,7
Genetic Information Processing,Information processing in viruses,hsa03272,Virion - Hepatitis viruses,6/458,48/9423,0.125,2.5717794759825328,2.467491901898539,0.027773752207906663,0.24903611297823286,0.2221976346372203,3920/1956/149461/644672/6554/100132463,6
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,9/458,89/9423,0.10112359550561797,2.0805406996712623,2.3148954255660628,0.028461270054655183,0.24903611297823286,0.2221976346372203,1101/1280/3908/341640/256076/3913/1286/22798/1287,9
Organismal Systems,Digestive system,hsa04976,Bile secretion,9/458,90/9423,0.1,2.0574235807860264,2.2781837766790125,0.03032203060455229,0.2581470173090263,0.23032666206018382,361/6522/6822/6344/107/6554/5567/482/6550,9
Metabolism,Amino acid metabolism,hsa00250,"Alanine, aspartate and glutamate metabolism",5/458,37/9423,0.13513513513513514,2.7803021361973332,2.452355585580726,0.03206937368734306,0.258199556717964,0.23037353932730625,84706/2752/339983/27165/440,5
Human Diseases,Substance dependence,hsa05032,Morphine addiction,9/458,91/9423,0.0989010989010989,2.034814530447718,2.241945192131978,0.03226607613049313,0.258199556717964,0.23037353932730625,5153/8622/2566/2770/107/2562/5567/2561/2556,9
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,8/458,77/9423,0.1038961038961039,2.137582941076391,2.2653989094286,0.03278724529751924,0.258199556717964,0.23037353932730625,440503/10873/33/2170/116519/729359/10580/5360,8
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,18/458,233/9423,0.07725321888412018,1.5894259422381318,2.0591054744378896,0.03482861838132329,0.2675857265882155,0.23874816708121485,4607/1158/6641/1756/23345/3908/23500/256076/4892/1286/10529/1466/7169/1287/482/442721/2192/4811,18
Organismal Systems,Digestive system,hsa04970,Salivary secretion,9/458,93/9423,0.0967741935483871,1.9910550781800254,2.170838851817829,0.03641012066018059,0.2698701534448506,0.24078640257234793,1131/6522/107/5567/482/147/55503/154/4586,9
