category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism,5/662,36/9423,0.1388888888888889,1.976963746223565,1.6143213626134003,0.10493573805723934,0.35977967333910627,0.29643500654193283,5214/80201/5210/29925/3795,5
Genetic Information Processing,Replication and repair,hsa03030,DNA replication,5/662,36/9423,0.1388888888888889,1.976963746223565,1.6143213626134003,0.10493573805723934,0.35977967333910627,0.29643500654193283,246243/2237/4173/23649/5983,5
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,14/662,139/9423,0.10071942446043165,1.4336542850311895,1.4158171895977676,0.10937696075070233,0.3670997266667758,0.30246625348797634,91860/3880/805/3866/5331/3875/113/84699/3861/3872/8503/3868/54474/4318,14
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,8/662,69/9423,0.11594202898550725,1.6503349533692369,1.4903444809081559,0.10938653139528903,0.3670997266667758,0.30246625348797634,4067/5606/5321/255189/1437/8503/7124/283748,8
Metabolism,Lipid metabolism,hsa00120,Primary bile acid biosynthesis,3/662,17/9423,0.17647058823529413,2.5119068775546474,1.7150260482434556,0.11253354716273188,0.3670997266667758,0.30246625348797634,1109/8309/9023,3
Metabolism,Energy metabolism,hsa00910,Nitrogen metabolism,3/662,17/9423,0.17647058823529413,2.5119068775546474,1.7150260482434556,0.11253354716273188,0.3670997266667758,0.30246625348797634,377677/1373/759,3
Genetic Information Processing,Information processing in viruses,hsa03273,Virion - Lassa virus and SFTS virus,3/662,17/9423,0.17647058823529413,2.5119068775546474,1.7150260482434556,0.11253354716273188,0.3670997266667758,0.30246625348797634,5097/7037/64881,3
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,10/662,93/9423,0.10752688172043011,1.5305525777214697,1.4133599667975,0.11655289879449098,0.37296927614237113,0.3073023797789587,91860/818/805/5606/5331/5321/255189/5337/113/283748,10
Organismal Systems,Digestive system,hsa04970,Salivary secretion,10/662,93/9423,0.10752688172043011,1.5305525777214697,1.4133599667975,0.11655289879449098,0.37296927614237113,0.3073023797789587,91860/805/1755/5331/683/113/54831/483/952/727897,10
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,7/662,59/9423,0.11864406779661017,1.6887961493164012,1.4588469050439623,0.11800013074210576,0.37403815027686355,0.30818306241483434,7378/6241/124583/7298/7083/956/4907,7
Metabolism,Metabolism of cofactors and vitamins,hsa00790,Folate biosynthesis,4/662,28/9423,0.14285714285714285,2.033448424687095,1.5053695794267299,0.12982824747323962,0.40768496402811694,0.33590584442166277,1719/2643/55034/248,4
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,16/662,168/9423,0.09523809523809523,1.35563228312473,1.278472267323156,0.13156578841664515,0.40931578618511827,0.3372495356099189,58985/53833/9021/6776/3976/1026/3598/9306/3561/23529/894/3717/6772/1437/8503/3566,16
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,6/662,50/9423,0.12,1.7080966767371601,1.379945562682519,0.13617070512668056,0.41593960838695154,0.3427071334767176,3939/5106/130/127/3948/5105,6
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,6/662,50/9423,0.12,1.7080966767371601,1.379945562682519,0.13617070512668056,0.41593960838695154,0.3427071334767176,5284/10673/3123/6370/3126/3125,6
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,11/662,110/9423,0.1,1.423413897280967,1.2278359752182648,0.1490449700984328,0.44770434069267107,0.3688792030143248,3939/818/7076/5214/80201/3162/1026/4843/7037/8503/3948,11
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,10/662,98/9423,0.10204081632653061,1.4524631604907825,1.2376434474920888,0.14923478023089035,0.44770434069267107,0.3688792030143248,949/91860/818/805/5331/3949/113/84699/483/183,10
Metabolism,Energy metabolism,hsa00920,Sulfur metabolism,2/662,10/9423,0.2,2.846827794561934,1.606149908019528,0.15255575630355953,0.4481144564568015,0.3692171116796328,9060/23474,2
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,13/662,135/9423,0.0962962962962963,1.3706948640483383,1.1924661350968295,0.1528600379420554,0.4481144564568015,0.3692171116796328,136/91860/805/50487/1908/5331/5321/255189/113/5320/183/283748/84647,13
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,8/662,75/9423,0.10666666666666667,1.5183081570996981,1.238748176330504,0.1547061813958005,0.4481144564568015,0.3692171116796328,5214/95/5009/1373/384/445/10993/162417,8
Human Diseases,Drug resistance: antineoplastic,hsa01524,Platinum drug resistance,8/662,75/9423,0.10666666666666667,1.5183081570996981,1.238748176330504,0.1547061813958005,0.4481144564568015,0.3692171116796328,578/355/332/7153/317/672/1026/8503,8
Human Diseases,Drug resistance: antineoplastic,hsa01523,Antifolate resistance,4/662,30/9423,0.13333333333333333,1.8978851963746224,1.3539511080451012,0.15613576108069285,0.4483898779753231,0.36944404106362777,1719/7298/9429/7124,4
Metabolism,Lipid metabolism,hsa00100,Steroid biosynthesis,3/662,20/9423,0.15,2.1351208459214503,1.3968429609818098,0.1620692088449574,0.45646191085093896,0.37609487015600546,1594/6307/6713,3
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,8/662,76/9423,0.10526315789473684,1.4983304181904913,1.1989795526013394,0.1630221110181925,0.45646191085093896,0.37609487015600546,91860/818/805/5331/113/483/1080/2520,8
Human Diseases,Cancer: specific types,hsa05214,Glioma,8/662,76/9423,0.10526315789473684,1.4983304181904913,1.1989795526013394,0.1630221110181925,0.45646191085093896,0.37609487015600546,91860/578/818/805/1870/1026/1869/8503,8
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease,21/662,239/9423,0.08786610878661087,1.2506984034686317,1.0790915349592594,0.16960454872394182,0.47055893338820415,0.3877098981237396,4940/4938/7187/4615/834/9636/59272/4939/717/9641/6772/3627/4314/4599/728/116832/1437/8503/733/7124/6403,21
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,10/662,101/9423,0.09900990099009901,1.4093206903771949,1.1368248021749476,0.17085770795643127,0.47055893338820415,0.3877098981237396,2152/5331/6776/113026/3717/6772/183/8503/7124/3383,10
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,9/662,90/9423,0.1,1.423413897280967,1.1094287973383687,0.17976626947671076,0.4910688336924782,0.4046087194897298,3357/5331/84790/7846/7280/10383/79861/113/10381,9
Human Diseases,Immune disease,hsa05310,Asthma,4/662,32/9423,0.125,1.7792673716012084,1.2137500640559153,0.18422513798001278,0.49919069646197006,0.41130060516760064,3123/7124/3126/3125,4
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,10/662,103/9423,0.0970873786407767,1.3819552400786086,1.071388136738151,0.1860542906559978,0.5001139332833221,0.41206129214759935,355/4615/5331/624/2769/4843/414062/8503/7124/6348,10
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,19/662,217/9423,0.08755760368663594,1.2463070990017682,1.0090089425904476,0.188239896940836,0.5002616316412631,0.4121829859700884,6197/6195/993/7421/332/3838/6776/990/113/7364/84699/1869/3717/9641/253152/8503/54576/1576/1543,19
Organismal Systems,Nervous system,hsa04720,Long-term potentiation,7/662,67/9423,0.1044776119402985,1.4871488479054875,1.0999619926009825,0.1890869857691679,0.5002616316412631,0.4121829859700884,2906/91860/818/6197/805/6195/5331,7
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,10/662,105/9423,0.09523809523809523,1.35563228312473,1.0072984806566132,0.20183661322303842,0.5298211097104758,0.4365380697175913,91860/805/834/3659/9641/6772/29108/64170/8503/7124,10
Environmental Information Processing,Signaling molecules and interaction,hsa04519,Cadherin signaling,33/662,404/9423,0.08168316831683169,1.1626895695611859,0.9187448204630146,0.20376915796156897,0.530747574225482,0.43730141610683504,3880/79905/10095/1001/5606/84152/10518/11187/79838/3866/3875/7004/144501/11322/3854/3855/5097/1015/1014/3861/286887/4640/10092/3872/1830/3853/3868/3071/1951/51176/56122/64881/54474,33
Organismal Systems,Endocrine system,hsa04924,Renin secretion,7/662,69/9423,0.10144927536231885,1.4440430841980822,1.0175943279559727,0.20912568531274425,0.5384613175871893,0.44365703798693856,91860/805/1908/5331/5140/183/1179,7
Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,10/662,106/9423,0.09433962264150944,1.342843299321667,0.9757403284358789,0.20993581132119582,0.5384613175871893,0.44365703798693856,1870/1026/84699/9134/2346/1869/4314/8503/51176/4318,10
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,3/662,23/9423,0.13043478260869565,1.8566268225403912,1.1306166180720199,0.2167547207645636,0.5453702854016304,0.449349577257609,483/5106/5105,3
Organismal Systems,Endocrine system,hsa04920,Adipocytokine signaling pathway,7/662,70/9423,0.1,1.423413897280967,0.9773775644828087,0.21943180390642888,0.5453702854016304,0.449349577257609,7133/51703/9021/3717/5106/7124/5105,7
