GSE,Signature,Group_1,Group_2,N_Group1,N_Group2,Median_Group1,IQR_Group1,Median_Group2,IQR_Group2,Effect_size_RBC,CI95_low,CI95_high,Raw_P,BH_FDR,FDR_significant,Direction
GSE55696,gastritis_subtypeA,HGN,LGN,20,19,0.0929314485,0.2755254905,0.134064699,0.23020017750000002,-0.1105263157894737,-0.47381578947368413,0.25263157894736843,0.5646149963078395,0.5646149963078395,False,LGN higher
GSE55696,gastritis_subtypeB,Gastritis,HGN,19,20,0.452078475,0.14147250599999994,0.625003397,0.08504224824999984,-0.5526315789473684,-0.8421052631578947,-0.22631578947368422,0.0033226375565646653,0.009967912669693995,True,HGN higher
GSE55696,gastritis_subtypeB,Gastritis,LGN,19,19,0.452078475,0.14147250599999994,0.610122205,0.2006038065000001,-0.5955678670360111,-0.8559556786703602,-0.296398891966759,0.0017850874127460351,0.009967912669693995,True,LGN higher
GSE55696,gastritis_subtypeB,EGC,Gastritis,19,19,0.58131971,0.20723603550000003,0.452078475,0.14147250599999994,0.32963988919667586,-0.05263157894736842,0.6842105263157895,0.08498077772008465,0.1699615554401693,False,EGC higher
GSE55696,gastritis_subtypeB,EGC,LGN,19,19,0.58131971,0.20723603550000003,0.610122205,0.2006038065000001,-0.1578947368421053,-0.5069252077562327,0.2299168975069252,0.4136696433905982,0.6205044650858973,False,LGN higher
GSE55696,gastritis_subtypeB,EGC,HGN,19,20,0.58131971,0.20723603550000003,0.625003397,0.08504224824999984,-0.09473684210526312,-0.4789473684210526,0.2738157894736847,0.6229260993842226,0.6631905386384751,False,HGN higher
GSE55696,gastritis_subtypeB,HGN,LGN,20,19,0.625003397,0.08504224824999984,0.610122205,0.2006038065000001,-0.08421052631578951,-0.4473684210526316,0.29486842105263206,0.6631905386384751,0.6631905386384751,False,LGN higher
GSE60427,gastritis_subtypeA,IM,mild,8,8,0.0565062625,0.08880370925,0.376839113,0.29848543475,-0.78125,-1.0,-0.40625,0.010081693883859663,0.020163387767719327,True,mild higher
GSE60427,gastritis_subtypeA,IM,normal,8,8,0.0565062625,0.08880370925,0.309910181,0.09776549974999998,-0.875,-1.0,-0.5625,0.00387604144899475,0.020163387767719327,True,normal higher
GSE60427,gastritis_subtypeA,IM,severe,8,8,0.0565062625,0.08880370925,0.3305757945,0.272147434,-0.78125,-1.0,-0.375,0.010081693883859663,0.020163387767719327,True,severe higher
GSE60427,gastritis_subtypeA,mild,severe,8,8,0.376839113,0.29848543475,0.3305757945,0.272147434,0.15625,-0.4375,0.71875,0.6365024869138661,0.9547537303707991,False,mild higher
GSE60427,gastritis_subtypeA,mild,normal,8,8,0.376839113,0.29848543475,0.309910181,0.09776549974999998,0.03125,-0.5632812499999997,0.65625,0.9581219265777428,1.0,False,mild higher
GSE60427,gastritis_subtypeA,normal,severe,8,8,0.309910181,0.09776549974999998,0.3305757945,0.272147434,0.0,-0.65625,0.5632812500000028,1.0,1.0,False,severe higher
GSE60427,gastritis_subtypeB,IM,normal,8,8,0.746943828,0.06279101124999986,0.438463382,0.18802431125000002,0.96875,0.8429687500000003,1.0,0.0013593755271592322,0.008156253162955393,True,IM higher
GSE60427,gastritis_subtypeB,IM,mild,8,8,0.746943828,0.06279101124999986,0.4771125315,0.18678573249999997,0.90625,0.625,1.0,0.002761604417827473,0.00828481325348242,True,IM higher
GSE60427,gastritis_subtypeB,IM,severe,8,8,0.746943828,0.06279101124999986,0.5501235705,0.23483598299999991,0.84375,0.5,1.0,0.005384940000147031,0.01076988000029406,True,IM higher
GSE60427,gastritis_subtypeB,normal,severe,8,8,0.438463382,0.18802431125000002,0.5501235705,0.23483598299999991,-0.28125,-0.8125,0.3125,0.3720293385704434,0.5580440078556651,False,severe higher
GSE60427,gastritis_subtypeB,mild,normal,8,8,0.4771125315,0.18678573249999997,0.438463382,0.18802431125000002,0.1875,-0.40625,0.71875,0.563523716477718,0.6762284597732616,False,mild higher
GSE60427,gastritis_subtypeB,mild,severe,8,8,0.4771125315,0.18678573249999997,0.5501235705,0.23483598299999991,-0.03125,-0.625,0.5625,0.9581219265777428,0.9581219265777428,False,severe higher
GSE60662,gastritis_subtypeA,IM,mild,4,4,0.0280301515,0.051190652999999996,0.5397945915,0.052340355499999935,-1.0,-1.0,-1.0,0.03038282197657749,0.036459386371892985,True,mild higher
GSE60662,gastritis_subtypeA,IM,normal,4,4,0.0280301515,0.051190652999999996,0.2942934675,0.07000032125,-1.0,-1.0,-1.0,0.03038282197657749,0.036459386371892985,True,normal higher
GSE60662,gastritis_subtypeA,IM,severe,4,4,0.0280301515,0.051190652999999996,0.2584433075,0.0802516895,-1.0,-1.0,-1.0,0.03038282197657749,0.036459386371892985,True,severe higher
GSE60662,gastritis_subtypeA,mild,normal,4,4,0.5397945915,0.052340355499999935,0.2942934675,0.07000032125,1.0,1.0,1.0,0.03038282197657749,0.036459386371892985,True,mild higher
GSE60662,gastritis_subtypeA,mild,severe,4,4,0.5397945915,0.052340355499999935,0.2584433075,0.0802516895,1.0,1.0,1.0,0.03038282197657749,0.036459386371892985,True,mild higher
GSE60662,gastritis_subtypeA,normal,severe,4,4,0.2942934675,0.07000032125,0.2584433075,0.0802516895,0.375,-0.5,1.0,0.47048642205878966,0.47048642205878966,False,normal higher
GSE60662,gastritis_subtypeB,IM,mild,4,4,0.756257984,0.07077316125,0.4291447315,0.03472445475000002,1.0,1.0,1.0,0.03038282197657749,0.045574232964866235,True,IM higher
GSE60662,gastritis_subtypeB,IM,normal,4,4,0.756257984,0.07077316125,0.4346682895,0.060609069000000015,1.0,1.0,1.0,0.03038282197657749,0.045574232964866235,True,IM higher
GSE60662,gastritis_subtypeB,mild,severe,4,4,0.4291447315,0.03472445475000002,0.5756759745,0.025101714750000115,-1.0,-1.0,-1.0,0.03038282197657749,0.045574232964866235,True,severe higher
GSE60662,gastritis_subtypeB,normal,severe,4,4,0.4346682895,0.060609069000000015,0.5756759745,0.025101714750000115,-1.0,-1.0,-1.0,0.03038282197657749,0.045574232964866235,True,severe higher
GSE60662,gastritis_subtypeB,IM,severe,4,4,0.756257984,0.07077316125,0.5756759745,0.025101714750000115,0.5,-0.5,1.0,0.312321421676216,0.3747857060114592,False,IM higher
GSE60662,gastritis_subtypeB,mild,normal,4,4,0.4291447315,0.03472445475000002,0.4346682895,0.060609069000000015,0.125,-0.75,1.0,0.8852339144732015,0.8852339144732015,False,mild higher
