gene,logFC,P.Value,adj.P.Val
GLUL,-1.27952144370667,5.01202633587192e-13,7.553509228646358e-11
PLEKHM3,-1.47033653158354,5.17338293603115e-13,7.75690702673895e-11
XLOC_l2_002611,-2.3789281686047,5.87432423532213e-13,8.763179727291712e-11
LOC644192,-0.875395166924625,6.18450600439809e-13,9.179306184709649e-11
XLOC_005517,-0.753465921539782,6.64064427379631e-13,9.806796679312862e-11
TMEM37,-1.27891862729786,6.79090831751321e-13,9.978560681753911e-11
RAB3B,1.45264193088502,7.25528205269608e-13,1.0566336945208268e-10
GCNT3,1.81174587999672,7.27019881218399e-13,1.0566336945208268e-10
IPW,-0.742638836376011,7.29878317638927e-13,1.0566336945208268e-10
RGN,-1.5157474597135,7.40030502411528e-13,1.0623028867306982e-10
CCL15,1.97800596556197,7.41023859329635e-13,1.0623028867306982e-10
CKM,-3.26624444795035,7.51733546831717e-13,1.0724245375869175e-10
SERPINB5,2.8198444725381,7.73561293051245e-13,1.0982328154681152e-10
HDC,-1.91226377912326,8.01620287378595e-13,1.132596971417411e-10
OBSL1,-0.715551047435573,8.17989037006365e-13,1.1501943454326822e-10
CDK14,-1.02702213495227,8.40542892074132e-13,1.1747651672128412e-10
SLC25A36,-0.639621764711666,8.434580450588999e-13,1.1747651672128412e-10
TMEM132A,-1.20003068992823,8.97149260959832e-13,1.243652003824884e-10
INPP1,1.13552697481904,9.05481000058157e-13,1.2493087150098178e-10
STARD5,0.947120330283677,9.26960247090035e-13,1.272967651471119e-10
PTPRM,-0.914337663748659,9.33316807174502e-13,1.275735550197408e-10
C20orf118,2.17578335259789,9.46601092825713e-13,1.2879033757389838e-10
FUT3,1.44843175265166,9.54456399627483e-13,1.2901323096135584e-10
CECR5-AS1,-0.89424810165595,9.57019339511895e-13,1.2901323096135584e-10
TMEM150B,1.18209175212425,9.77064813643531e-13,1.311140673212607e-10
ABP1,2.10123995616234,1.00744042859225e-12,1.3406379909171389e-10
KCNJ16,-3.06979327631096,1.00816998772522e-12,1.3406379909171389e-10
XLOC_002678,-0.9953863479823,1.02150438226071e-12,1.3522509363007995e-10
PGM2,0.617096549841868,1.0352666974500199e-12,1.3643236638861519e-10
MYRIP,-1.58133359580801,1.11447186419492e-12,1.4621472832571567e-10
LOC100505535,1.29604886641992,1.17880232554953e-12,1.5396730108110927e-10
ZMYND15,0.679293381422515,1.2325698018952e-12,1.6027770503582362e-10
KCNMB2,-1.45576036828324,1.32681649424886e-12,1.717730534492753e-10
FBXL13,-1.73141187363519,1.3911915088951298e-12,1.7881576538011913e-10
XLOC_l2_008124,0.948523220179456,1.39338540465657e-12,1.7881576538011913e-10
SNURF,-1.03923683701376,1.4532696245356099e-12,1.856899466341413e-10
LOC100306951,-0.619447004035063,1.4783602606272299e-12,1.870203952894148e-10
LOC285141,-1.10502322128934,1.4807628310374e-12,1.870203952894148e-10
C21orf30,-2.24247140523247,1.4827736525940399e-12,1.870203952894148e-10
ASPHD1,-0.930952120431639,1.5269723199443899e-12,1.9177206213045183e-10
ZNF204P,-0.763961101520112,1.5358156100616999e-12,1.92061911270184e-10
OR52K2,-1.94391977646303,1.54947831412349e-12,1.929494436248353e-10
XLOC_l2_006027,-1.63717976397396,1.58707904362269e-12,1.9679780140921354e-10
XLOC_011486,-1.70051468914769,1.6105686448788e-12,1.9868758425688977e-10
ANKAR,-0.567711031901691,1.61584090912606e-12,1.9868758425688977e-10
ST14,0.54871575142345,1.74914473034296e-12,2.1329404703451828e-10
ND4,-0.783563244615943,1.76570527753698e-12,2.138929018488753e-10
GTF2IRD2,-0.56023349726515,1.7686121937279399e-12,2.138929018488753e-10
XLOC_011294,-1.14710568359815,1.77675836849282e-12,2.1399743825109423e-10
CD58,0.701764839538987,1.78474019243832e-12,2.1408140724643814e-10
ZNF626,-0.679645424962865,1.84646570418094e-12,2.2058509802629862e-10
C19orf21,1.49597902065277,1.8710188282853097e-12,2.2261336569088536e-10
XLOC_006757,-1.99527874661944,1.8882523890946398e-12,2.237579081077148e-10
TM7SF2,-0.962764277184188,1.92349016082553e-12,2.2549280974744317e-10
LARP6,-1.40546732209845,1.92385222759999e-12,2.2549280974744317e-10
FXYD4,-2.46125182673445,1.92591177509896e-12,2.2549280974744317e-10
ONECUT3,1.51442452903227,1.94863407676636e-12,2.262540682903536e-10
