gene,logFC,P.Value,adj.P.Val
XLOC_l2_012919,-0.577981976659302,2.60073633737545e-06,3.0438247504097857e-05
FGF20,-0.912582310043732,2.60567204466185e-06,3.0483873426959572e-05
IGFBP5,-0.945707369914322,2.6096664356395e-06,3.051845491865245e-05
C19orf46,-0.568252769075512,2.65827389154388e-06,3.1012843638226105e-05
XLOC_005582,-0.834741813991264,2.67382700265455e-06,3.116954698691468e-05
LOC284408,-0.539268474975623,2.68244685504723e-06,3.125763210790166e-05
XLOC_000010,-0.677482231467481,2.7791862236583e-06,3.226974505763339e-05
LOC100506533,-0.601170240092484,2.88423502737707e-06,3.3357693421706935e-05
XLOC_000063,-0.577613850942544,2.93568192061038e-06,3.3912665205541614e-05
BEAN1,-0.949612757793252,3.00863566120313e-06,3.464646740260093e-05
LOC200772,-0.735624916262645,3.04063795538888e-06,3.497388189157276e-05
XLOC_000757,-0.708193858208702,3.045761935505e-06,3.501911258240256e-05
ZNF577,-0.571646668861277,3.05762088639273e-06,3.514171396531465e-05
TMEM171,-0.601201974162784,3.09165853934016e-06,3.550922512317872e-05
XLOC_l2_013080,-0.818998166546999,3.0920744967879e-06,3.550922512317872e-05
XLOC_003140,-0.921296966914751,3.09432923218837e-06,3.550922512317872e-05
XLOC_002616,-0.720843306029812,3.14547065503503e-06,3.6038632206693744e-05
PP12613,-0.940544381035114,3.15968889480863e-06,3.6165046511948674e-05
TSNARE1,-0.599820849725479,3.18678996735836e-06,3.644100527654766e-05
ODAM,-1.05101800230118,3.25041275732494e-06,3.702446903576176e-05
MT2A,-0.659150251707768,3.30731805799702e-06,3.758525254772483e-05
ADAMTS19,-0.920281166152862,3.31843368650384e-06,3.76590250935925e-05
GLS2,-0.593260845065427,3.46303171378601e-06,3.900788654838761e-05
C17orf107,-0.627743441508313,3.48531420834456e-06,3.91837849865455e-05
FBXO27,-0.806540567725501,3.51734431527597e-06,3.945332623562221e-05
ZNF483,-0.608384227204295,3.53573117500822e-06,3.9599111193270416e-05
KCNJ13,-0.724278185587471,3.54609311950349e-06,3.966980761171243e-05
LOC100287493,-0.783445911069646,3.78203941267112e-06,4.205057416116454e-05
XLOC_002030,-0.883141592285458,3.80202201272759e-06,4.224341130814307e-05
OR6A2,-0.73150150069093,3.81492879282835e-06,4.237079643372621e-05
SLC22A20,-0.579774312863824,3.82418278226859e-06,4.245753064046442e-05
IRX2,-1.68622549394558,3.83844850217556e-06,4.2599820461455946e-05
LOC100507520,-0.722881552676896,3.88949432656161e-06,4.3101228985291326e-05
FRMD1,-0.876097960842123,3.89314222385259e-06,4.3125391509453415e-05
MICALL1,-0.608624342901931,3.934316748557e-06,4.353511917299273e-05
KCNIP4,-0.63239484981122,4.05749269842864e-06,4.4693251657204225e-05
ARMCX2,-0.51076095966449,4.06120780634501e-06,4.4717412893543336e-05
PDZD2,-0.638269085062403,4.13391533385732e-06,4.543287353455457e-05
TOX,-0.626663937705048,4.14493025048542e-06,4.553690100981889e-05
CELA2B,-1.2783346035388,4.1492879624955e-06,4.556774089754027e-05
C2orf74,-0.71705763293749,4.16275785319874e-06,4.569859088151086e-05
NEFL,-0.99632435209804,4.18126557065446e-06,4.588462755429174e-05
PLOD2,-0.721507363450201,4.24530317764008e-06,4.643132481744945e-05
TKTL1,-0.963415066620765,4.25263813855779e-06,4.6489547708896e-05
LOC100505683,-0.663591385497214,4.33028393602929e-06,4.720266480416497e-05
LOC100506966,-0.567460034189619,4.39275184834061e-06,4.7777272878991064e-05
CYP4F22,-1.12055333040625,4.41711881740415e-06,4.8006763241817e-05
IDH2,-0.715335335412257,4.60723845609807e-06,4.9940847130931476e-05
ANKRD65,-0.801328495678176,4.60866943715415e-06,4.9940847130931476e-05
PTK7,-0.843302610480113,4.66273271836926e-06,5.04708615570666e-05
VWA5B1,-0.584366698079043,4.80320960916553e-06,5.188324268793769e-05
ZNF512B,-0.534577210387227,4.8039694339254e-06,5.188324268793769e-05
XLOC_009723,-0.553046852841126,4.81532464986474e-06,5.195035272034691e-05
ST8SIA5,-0.942587556944793,4.85060968408319e-06,5.22926329405124e-05
TTLL7,-0.529650728794418,4.87100114105152e-06,5.2493209216436405e-05
ADSSL1,-0.51098375720343,4.87353408784178e-06,5.249510567819682e-05
SAMD13,-0.515243498607559,4.88016103614642e-06,5.2514892907459165e-05
ASNS,-0.604280553991403,4.91787258581473e-06,5.2843305137814723e-05
GFRA4,-1.09849963337172,4.92481687779751e-06,5.2859940980538074e-05
NES,-0.536330192962484,4.93347599042417e-06,5.2914230805323186e-05
XLOC_001641,-0.808368441322329,5.03214680884141e-06,5.387421873159612e-05
XLOC_001656,-0.830758947246588,5.14393190183467e-06,5.4791544302688395e-05
EFEMP2,-0.554825085111521,5.25991356286134e-06,5.578431605390439e-05
SOX2,-0.681011760049387,5.2916158570283e-06,5.6059843837904716e-05
SNORD89,-0.606900161257359,5.31159714664836e-06,5.6251249349802525e-05
RORA,-0.50903215200818,5.39962577670202e-06,5.7121743097811004e-05
RET,-0.86842797956889,5.45568182339005e-06,5.76524909837421e-05
SIX4,-0.808223873413098,5.50801363729169e-06,5.8118762033727896e-05
PRKACB,-0.68394178046657,5.83812884257292e-06,6.101384439030334e-05
FFAR3,-0.751374236472173,5.86652917385191e-06,6.125416390328945e-05
FLJ37638,-0.681901623373917,5.90732187195982e-06,6.158813317457524e-05
SLC35F3,-0.993991714041549,5.92273079838317e-06,6.172241585208674e-05
TMEM178,-0.620160284997019,5.92650164895874e-06,6.173981937596577e-05
GOLGA6L9,-0.55201422736004,5.93882969030211e-06,6.182742544674527e-05
CPNE4,-0.533441403150912,5.94906837399152e-06,6.190907272480977e-05
FST,-1.10462220091346,5.97807689690625e-06,6.21669228047703e-05
XLOC_010356,-1.08767903711561,6.31031625840335e-06,6.520660133683461e-05
EFCAB2,-0.792015205938396,6.37664234329378e-06,6.58225378239261e-05
COL4A5,-0.550411877510706,6.62752265189093e-06,6.80536812347207e-05
KIAA1456,-0.582835110471861,6.64506547948529e-06,6.82099840416045e-05
ZMAT1,-0.555237147684155,7.07819779585509e-06,7.224152428787337e-05
XLOC_007279,-0.838279336069598,7.20031751137211e-06,7.321900727481093e-05
CDK18,-0.601760118597527,7.21746796003391e-06,7.335854397197807e-05
CWH43,-1.46266753794946,7.25573775730852e-06,7.365513686071945e-05
LOC100129596,-0.546754372922745,7.27119766120856e-06,7.376111731708565e-05
ZNF503,-0.561179760606241,7.46493345241645e-06,7.53615034189959e-05
SYCP2,-0.831009625423297,7.71565086962519e-06,7.74146629418044e-05
LOC400128,-0.6089957276341,7.7316367257028e-06,7.754858023718563e-05
ZNF610,-0.748364266896943,7.96515886772505e-06,7.948390112214051e-05
VANGL2,-0.549003810648196,7.98992306524019e-06,7.967691178869315e-05
LOC100270804,-0.538809815196936,8.16147646472969e-06,8.127735355658291e-05
OR4N4,-0.884522900317342,8.30995244422092e-06,8.250435217255554e-05
GAS1,-0.775521786254386,8.44581972321448e-06,8.362727426746198e-05
FLJ26332,-0.521803703157323,8.51458079610288e-06,8.422298903933742e-05
GC,-1.02574282789699,8.55201909240227e-06,8.450798153581638e-05
F2,-0.568192040339528,8.56419279529046e-06,8.459983121613314e-05
ZBTB16,-0.776712959665065,8.68198468159854e-06,8.567348390108166e-05
CIRBP,-0.624919361601644,8.70699687642555e-06,8.586618261892418e-05
