gene,logFC,P.Value,adj.P.Val
HIST1H3H,0.775209845049904,6.1458011693113e-07,8.827605315919868e-06
KRT16P2,1.09948703418837,6.31736088985272e-07,9.043088252849086e-06
PRC1,0.642669979910039,6.43949874056324e-07,9.204474172552165e-06
PAPSS2,0.723563280965634,6.45027305803623e-07,9.215392543975143e-06
ASPM,0.858251023807387,6.45646216715137e-07,9.219752680672717e-06
PIGR,1.0047358205694,6.4904032146612e-07,9.259221828760356e-06
CDCP1,0.535713850831135,6.71582283135884e-07,9.548360008126443e-06
HIST1H2AG,0.829506293310909,6.79776473735077e-07,9.641540062802336e-06
CDC6,0.709281483614579,6.82609400041998e-07,9.677050192201753e-06
NANOS3,1.37090548568934,6.88339343518746e-07,9.753576001605067e-06
LINC00239,0.519010379436398,7.02554006735764e-07,9.935831159745252e-06
MYB,0.577368314511855,7.03897679327925e-07,9.950045695088533e-06
SRGAP2P1,0.512106360581007,7.1003388227151e-07,1.0022322637941949e-05
STK38L,0.563555387527491,7.14044753306814e-07,1.0074098516649374e-05
NMUR2,1.17281516339652,7.17835179887625e-07,1.0117861039106727e-05
LOC100289488,0.642882241623396,7.21706258851256e-07,1.0158980974447427e-05
CDKN1A,0.727451436116545,7.24303215857717e-07,1.0179733576100711e-05
GLE1,0.517404127708447,7.33375409754563e-07,1.0302311922498612e-05
TUBAL3,1.59954502487096,7.47140482053929e-07,1.0470655453791543e-05
HIST1H3F,0.679374827206927,7.52367678115845e-07,1.0538885283350072e-05
MSLN,1.74140450880123,7.64523057088269e-07,1.0688774310994315e-05
KRT7,0.715001190666511,7.6936740522746e-07,1.0751388162065904e-05
IL13RA2,0.851032842273522,7.80025338334863e-07,1.089514479229323e-05
LAMP3,1.24776005210417,7.81599472882723e-07,1.0911945515001171e-05
TNFSF13B,0.701633115450252,7.9654408978024e-07,1.1099496306525223e-05
LPGAT1,0.571423915791566,8.075497135814e-07,1.122093190672822e-05
KIF11,0.736060414049235,8.12543389329791e-07,1.127965286992154e-05
HS3ST1,0.560725415924183,8.21673765225087e-07,1.138488854900276e-05
MYO7B,1.97063388589463,8.43623881987216e-07,1.1617815671902673e-05
KIF14,0.906447421719869,8.44698435355551e-07,1.1621721731380585e-05
LOC100129931,0.902005371305409,8.47824045529974e-07,1.1659266752473036e-05
POLA2,0.508839846021763,8.66967776693002e-07,1.187806481186664e-05
PCDH1,0.508891937612499,8.68755716221566e-07,1.189701444003699e-05
XLOC_006028,0.832456366324637,8.7516137374348e-07,1.1973576560322807e-05
CLSPN,0.806930811358712,8.76485927989626e-07,1.1986118404727377e-05
MMD,0.651348351604605,8.79085807345592e-07,1.2010494517095425e-05
PLEKHG6,0.583880277132703,8.86263560717006e-07,1.2102933792914207e-05
TGM2,0.990562396756836,9.07626033453126e-07,1.2360201052419124e-05
CDCA7,0.912379885747616,9.46911913429888e-07,1.2817985864522132e-05
XLOC_006948,0.773649378338969,9.5769696384292e-07,1.2928249137995284e-05
PLD1,0.609748115734668,9.67299749274347e-07,1.3027958309658347e-05
XLOC_005777,1.20806924226967,9.69857720933457e-07,1.3050448123989209e-05
DIAPH3,0.570079604531831,9.72744016670949e-07,1.3071331121136648e-05
CTSZ,0.728616724082675,9.74492892517193e-07,1.3088846949403689e-05
GPD1,1.08435698879224,9.81844832669174e-07,1.3163529170840186e-05
FUT4,0.510647241466154,9.85783406937714e-07,1.3204285671415469e-05
TEP1,0.506259901449237,9.87173442733676e-07,1.3216880699342721e-05
CCDC24,0.531104648679415,9.95171234274646e-07,1.3317892637915893e-05
NPC1L1,0.728106238984068,9.98346924101446e-07,1.3354310152705186e-05
SLC35F2,0.546409184457811,1.01746713882987e-06,1.3585335881841081e-05
SLC39A10,0.585089532887782,1.02495637279332e-06,1.3671981712429243e-05
HOXB2,0.763055466448916,1.02535210610433e-06,1.3671981712429243e-05
C9orf167,0.506087772615706,1.03681488509099e-06,1.3818555937892978e-05
XLOC_l2_003848,1.32528460258921,1.04865297537932e-06,1.3951024735376847e-05
ADCY7,0.824812343288693,1.0497864376857e-06,1.3954548621552544e-05
THOP1,0.563501642167328,1.05034236936417e-06,1.3954548621552544e-05
SHD,1.27051490313934,1.05517274811084e-06,1.400605994646855e-05
ISG15,0.882291692903665,1.0671193976911e-06,1.4126353540245966e-05
MLF1IP,0.793750648344355,1.07014999026399e-06,1.4153720933338499e-05
PLAUR,0.854278900427017,1.083876993089e-06,1.4315475392828421e-05
CENPF,0.677596591842066,1.08878226915539e-06,1.4367819185423708e-05
SLC4A7,1.15665959636522,1.10934280071524e-06,1.4608545858127716e-05
SH3BP1,0.640444746089452,1.11141636994193e-06,1.4627095512697463e-05
SLC2A9,0.553595234684782,1.11878977544825e-06,1.4717544279710459e-05
PROM1,0.691561216520209,1.12459007187396e-06,1.4787227307486326e-05
GPR110,1.0151872444143,1.13852695174309e-06,1.495041557543607e-05
PRR4,1.38182695350918,1.15372563768782e-06,1.5129713984993153e-05
MSX2,0.59094954022094,1.1800554872971e-06,1.544742568404774e-05
PARP14,0.595994061723123,1.2131890411065e-06,1.58177460248615e-05
SAA1,1.88531000686856,1.23439176708447e-06,1.6079922540371633e-05
KYNU,0.809264259888465,1.30565296727887e-06,1.692568566492785e-05
KIFC1,0.958728062478989,1.30789101846792e-06,1.6939753746467712e-05
DAPP1,0.77897690116414,1.33940832212168e-06,1.7309820479556698e-05
ZG16,2.79716774882172,1.37306613405656e-06,1.7698099801602714e-05
CDH17,2.46513719109756,1.40578544551454e-06,1.808018497714718e-05
XLOC_012170,0.597741871769781,1.41157900669842e-06,1.8146755839393338e-05
ZWINT,0.721573418024279,1.42204353943942e-06,1.8265303993464016e-05
XLOC_008005,0.872675410994937,1.42308883044334e-06,1.827074466975486e-05
GP2,1.58066835043037,1.42765301851867e-06,1.8321339261234356e-05
EMILIN2,0.624747826520115,1.42861184877088e-06,1.8325641646302322e-05
TP53I11,0.627901585821446,1.43807998588939e-06,1.8390902796047604e-05
PTPRE,0.504904307141342,1.43961655597303e-06,1.840254517048082e-05
