"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","term_type"
"82","GO:0030072","peptide hormone secretion","54/1989","258/18860",0.209302325581395,1.98463643060086,5.46779523621622,6.28125785430942e-07,4.50871752810552e-05,3.59781419074822e-05,"NOS2/ABCA12/NMU/EDN3/ADRA2A/RBP4/CFTR/NR1H4/F2RL2/GCG/MLXIPL/GAL/IL1RN/FFAR2/CD38/STX1A/PCK2/HLA-DRB1/FAM3D/JAK2/TNF/HNF4A/MCU/C2CD2L/CAMK2G/VSNL1/F2RL1/SLC16A2/PLA2G6/KCNJ11/ACVR2B/EDN1/F2/SIRT4/PTPRN/SIDT2/PRKD1/FFAR3/OXCT1/SLC16A10/TFAP2B/GNAI1/CHGA/ABCC8/GNAZ/RAPGEF4/PDE8B/CHRM3/MYRIP/CELA2A/FGA/FGB/GHRL/FGG",54,"BP"
"83","GO:0045839","negative regulation of mitotic nuclear division","20/1989","57/18860",0.350877192982456,3.32707081933088,6.04143022796063,6.76349154356335e-07,4.79637484643541e-05,3.82735564583128e-05,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CHEK1/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",20,"BP"
"84","GO:0042742","defense response to bacterium","69/1989","361/18860",0.191135734072022,1.81237805158287,5.3511110667189,6.96735787596093e-07,4.88212719736977e-05,3.89578331360121e-05,"DMBT1/ZG16/PI3/REG3G/DEFA5/NOS2/KLK7/PLA2G2A/CCL20/LCN2/MMP7/DEFA6/S100A9/SEMG1/OAS1/GBP1/S100A8/EPHA2/DEFB4A/NR1H4/OAS3/LGALS4/S100A12/SFN/GBP3/IL22RA1/S100A14/ISG15/CASP1/C5AR1/NOD1/DEFA3/IL18/KRT6A/NOD2/FPR2/HCK/OAS2/TREM2/ARG2/EMILIN2/SLAMF8/MYD88/TNF/CYBA/PYCARD/WFDC2/SELP/CARD9/F2RL1/FGR/RNASE1/PLA2G6/NPY/F2/DEFB1/STAB2/SFTPD/PRKD1/ADM/COLEC12/CHGA/IL33/TF/PLA2G1B/SCNN1B/PGC/FGA/FGB",69,"BP"
"85","GO:0010273","detoxification of copper ion","10/1989","16/18860",0.625,5.92634489693313,6.7686890997189,7.32572104334827e-07,5.01385977455208e-05,4.00090174974541e-05,"MUC2/MT3/MT2A/MT1E/MT1H/MT1B/MT1X/MT1M/MT1G/MT1F",10,"BP"
"86","GO:1990169","stress response to copper ion","10/1989","16/18860",0.625,5.92634489693313,6.7686890997189,7.32572104334827e-07,5.01385977455208e-05,4.00090174974541e-05,"MUC2/MT3/MT2A/MT1E/MT1H/MT1B/MT1X/MT1M/MT1G/MT1F",10,"BP"
"87","GO:0007094","mitotic spindle assembly checkpoint signaling","18/1989","48/18860",0.375,3.55580693815988,6.08747916102682,7.8677033553692e-07,5.20329235389923e-05,4.15206296530543e-05,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1",18,"BP"
"88","GO:0071173","spindle assembly checkpoint signaling","18/1989","48/18860",0.375,3.55580693815988,6.08747916102682,7.8677033553692e-07,5.20329235389923e-05,4.15206296530543e-05,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1",18,"BP"
"89","GO:0071174","mitotic spindle checkpoint signaling","18/1989","48/18860",0.375,3.55580693815988,6.08747916102682,7.8677033553692e-07,5.20329235389923e-05,4.15206296530543e-05,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1",18,"BP"
"90","GO:0030593","neutrophil chemotaxis","25/1989","83/18860",0.301204819277108,2.85606982984729,5.81870800003714,7.99558499466448e-07,5.22911258651057e-05,4.17266669546116e-05,"SAA1/CXCL5/CXCL3/DPP4/EDN3/S100A9/CXCL10/BST1/CXCR2/S100A8/S100A12/DPEP1/C5AR1/PF4/CXCL9/CCL3/MDK/NCKAP1L/CKLF/TNFAIP6/MCU/LGALS3/EDN1/VAV3/PLA2G1B",25,"BP"
"91","GO:0015850","organic hydroxy compound transport","59/1989","294/18860",0.200680272108844,1.90288081044384,5.35736485106867,8.52177388771241e-07,5.51199572561266e-05,4.39839850630107e-05,"APOA4/MTTP/PCSK9/APOC3/ABCG5/SLC5A1/ABCA12/ABCG8/RAB3B/CEACAM1/ADRA2A/RBP4/LIPG/AQP9/CFTR/APOC2/NR1H4/FLVCR2/TGM2/EMB/STARD5/SPP1/AGT/GAL/SLC19A3/ANXA2/AKR1C4/STX1A/FLVCR1/STARD4/NPC1L1/APOB/SLC16A3/SLCO2B1/SLC5A11/TREM2/SCARB1/SEC24A/MYB/LDLR/LRP1/TSPO2/AQP2/ADORA3/ABCA2/GPM6B/GRAMD1A/SLC18A2/KCNQ1/PLTP/FFAR3/STX12/CHGA/FGF20/SLC10A1/SLC6A2/APOA5/SLC16A7/GHRL",59,"BP"
"92","GO:0010043","response to zinc ion","19/1989","53/18860",0.358490566037736,3.39926197861825,6.00567952105337,8.77124294287396e-07,5.551347952877e-05,4.42980034081535e-05,"CPS1/OTC/S100A8/KHK/CRIP1/SLC30A10/ASS1/ALAD/MT3/MT2A/MT1E/GABRB3/MT1H/ABCC8/MT1B/MT1X/MT1M/MT1G/MT1F",19,"BP"
"93","GO:0051985","negative regulation of chromosome segregation","19/1989","53/18860",0.358490566037736,3.39926197861825,6.00567952105337,8.77124294287396e-07,5.551347952877e-05,4.42980034081535e-05,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",19,"BP"
