"","CD4+ naive T-cells","CD8+ T-cells","Chondrocytes","CMP","DC","Endothelial cells","Epithelial cells","Erythrocytes","HSC","iDC","Keratinocytes","ly Endothelial cells","Macrophages M1","Mast cells","MEP","Mesangial cells","mv Endothelial cells","Myocytes","Neurons","Neutrophils","NKT","pDC","Pericytes","Preadipocytes","pro B-cells","Sebocytes","Skeletal muscle","Tgd cells","Th2 cells","StromaScore","id","Group"
"11",0,0.0181285043497643,0.004193458932125,0.00255053013870697,0.0728354736114325,0.0827957470279561,0.0415868640343116,0.0353661651513979,0,0.0639860984621597,0.0644733594070169,0.0862832161852174,0.0537168823082139,0.0198342137485726,0.0325226640468061,0.0292617102022216,0.0360234836479506,0.0276856562434705,0.0242658692023631,0.0648704727241461,1.52380217434743e-17,0.0645151180870577,0.00252227920126487,0.0204762947081019,0.0251213535329235,0.0595351681478144,0.0413950825585852,0.0471880254724878,0.131668583810809,0.0480545526674907,"GSM3754794","subtypeA"
"12",0.0149435931141008,0.0320859956613248,0.0333209179886173,0.0220078848354074,0.0181639294358353,0.100365374743326,0,0.00788002062456999,0.0227608197441125,0.0387602974718304,0.00975786627999942,0.117233836053263,0.0146824309571847,0.0337379424837295,0.0318917312653012,0.0127814256220898,0.050887523761308,0.0669599759874622,0.0894373471845197,0.0123637702205749,0.0296052965168547,0,0.0174044533957335,0.00665048086855418,3.94764976411834e-19,0.00622257520488569,0.0699363759955597,0.00155527280911593,0.0290399885240884,0.0869056441759678,"GSM3754796","subtypeA"
"13",0.010516707222669,0.0389915619505396,0.026516451253009,0.0219691133802558,0,0.0984314731737964,4.28680564357555e-18,0.015041132841316,0.0275228202484872,0.0143564386897958,0,0.100088347506066,0.0170658897652497,0.0258777784734943,0.0186277821925954,8.36673577762016e-22,0.0471429327338697,0.0780287156257029,0.0858737074859403,0.0708090403794595,0.0103469257544406,0,0.0108211702117961,0,0,0.00252821125788359,0.102808272802598,0,0.0259704188917943,0.08358758062634,"GSM3754798","subtypeA"
"14",0.00239614881542697,0.0281363317295622,0.00424454388821736,0.020596709354703,0.0746770893527975,0.0681319826524068,0.00583546610483473,0.0225759420334734,0.0050234323687312,0.0419012237981476,0.00294519790817219,0.0793747961184399,0.0384011739718449,0.0220147748048881,0.00262019766113067,0.0234938736329852,0.0405052590872431,0.0441009306384156,0.0405365823398105,0.0338353449548894,0.000633420467860142,0.0419974138059316,0,0.0112316902047097,0.0101222266312169,0.00270133246569087,0.0545691032066812,0.0233343167706496,0.0507728240482631,0.05874796029741,"GSM3754800","subtypeA"
"15",0.0155703846048559,0.00823914835782535,0.00160598852586503,0.0251947739264892,0.0928162069487859,0.107426535370797,0.0159545078652553,0.047034384806063,0.00102426358757704,0.0747758957516554,0.0391262419335612,0.115168565238711,0.0577071718336992,0.0209254963839858,0,0.0406352894292094,0.0501218909714565,0.0299747995214242,0.0239692938225671,0.0649702381096857,3.59379026901515e-18,0.0444192881931354,0.0118579154363912,0.000301299991661976,0.0150387985285781,0.0521963073007124,0.0353516169578089,0.0335984334657324,0.0491294933068989,0.0627930051403576,"GSM3754802","subtypeA"
"16",5.53670018495647e-19,0.0149715365795592,0,0,0.018068354813991,0,0.0735330286718749,0.0516238403661504,0,0.0339226091713602,0.086342032681489,0.0123687187700029,0,1.3140240063295e-18,0,0.0141453370051185,0.00964411180485943,0.0170849349193945,0.0502037950349854,0.0560789247199276,0.0133558248569352,0,0.00166721796271376,5.74812450149845e-19,0.0209273739265274,0.0561511821641941,0.0334010243654528,0.0497705160415893,0.0663373029692299,0.0147590809391152,"GSM3754804","subtypeB"
"17",0,0.00729535637923859,0.0217467182100671,0.0115886626124324,0.00783927883860073,0.102948289924483,0.00486637248187529,0.0499343336066703,0.0213094637917119,0.0442227030883993,0.0407952389540587,0.10257052165285,0.00745016434214462,0.0201785871099093,0.0206665069355246,0.0149544511704966,0.0514708541356438,0.069849943323901,0.0635768855091878,0.0230940314251584,0.0267966585784842,1.52876954771083e-18,0.019965179622939,0.00439310174843618,0.0179816601005693,0.0147789207320196,0.0710304381109477,0.00388310892435059,0.0208259633104272,0.0813875287450261,"GSM3754806","subtypeA"
"18",5.30338680007881e-20,0.0338440153503129,0.0119227655470102,0,0.0781437012578088,0.0589025260940581,0.0499938377126767,0.0459808667726014,0,0.0820094172811677,0.0554980123831707,0.0649817634816062,0.0137824010392682,0.00223536799489743,0,0.0173058980977038,0.0335021360257249,0.0419072388065848,0.0258330617993183,0.0572086252704035,0.0292990316410426,0.058229580528022,0,0,0.00193064027030081,0.0545079217851717,0.0445979701490107,0.0448798985765192,0.0757142761996899,0.033032994189213,"GSM3754808","subtypeA"
"19",0.0130328720971681,0.0425623466294623,0.00576004952402487,0.0114110233583236,0.151943857509806,0.0655208578993967,5.62548958324404e-19,0.0181810867542097,0.00874632151167818,0.140086073723691,0.0279735388746,0.0622962726155394,0.05944599258845,0.0187974096249714,0.0220983835198661,0.0260500905133394,0.0242382886884263,0.055801003788853,0.0422016466566382,0.0498871728596328,0,0.0648445122913134,0,0.00468217662999679,1.81766969616822e-18,0.0683812747929342,0.0717632159944396,0.0193394700940951,0.116768246299572,0.0538231047112682,"GSM3754810","subtypeA"
"20",3.89773850690567e-18,0,0,0.0126880260997012,0.0844420909340347,0.0866335069257517,0.0269065539824656,0.0608196911713585,2.71538325871223e-19,0.0916332209002404,0.103224595050486,0.0769904313305536,0.0431011385441001,0,0,0.0649677028868774,0.0412707329932545,0.0376736630152891,0.0472993574409675,0.0720279575908948,0,0.0628821934196274,0.015545271617718,0.0103255165842918,0.0145027076378027,0.110491191686787,0.0309925437539625,0.0188392511132779,0.118745162818601,0.0647939589258058,"GSM3754812","subtypeB"
"21",0,0.0615310673288456,0.0185424888278335,0.0161230845799564,0.0678039901654147,0.093819064646138,2.07739798935882e-18,0.0363280632905081,0.0202277526699746,0.0820863000509838,0,0.115524407937548,0.0198147679576027,0.0276163652751727,0.0112331659747921,0.030503812479567,0.0423006420638646,0.0590551084781592,0.057962266514369,0.00784836629821475,0.0336321294697713,0.0376440988268763,0.00328774737472915,3.13811594554504e-21,0,0.00486854010928366,0.0741268165456371,0.00901855103542905,0.0585942567000054,0.0732852091301741,"GSM3754814","subtypeA"
"22",0.0203321208308616,0.0539585936044188,0.0137216409707053,0.00534982175883853,0.138571403432107,0.0540000474864151,0.0202053293113303,0.0308371771238705,0,0.119795492361063,0.0511284296098548,0.0545962451222416,0.0518307171203479,0.0229615707984131,0.0186308020848611,0.0196392309897159,0.0263471464322213,0.0244027019989487,0.0249483290913429,0.0673266078690333,0,0.0745706233412033,0.0155898623776055,0.00562449583790402,0.00648555129257553,0.0568918680064206,0.0376626472954816,0.0420133690259229,0.118216789774766,0.0420128535227639,"GSM3754816","subtypeA"
"23",0.0267369769786217,0.0515618763469852,0.0226147032765893,0.0216833969194188,0.11195236780922,0.125435921188267,0,0.0030337755918014,0.00465465037221602,0.10113980596439,0.0215041232992554,0.136738340393263,0.0460950439303936,0.0233860576690643,2.86670009782761e-19,0.0434308571801356,0.0550120658019444,0.0488974378821352,0.0379807096895944,0.080472207540734,4.22826987798153e-21,0.0749511019280989,0,0.0196353557970592,0.0177982982909479,0.032416118396209,0.0488355919320072,0.0342449317942495,0.0970501570912403,0.0627179605941334,"GSM3754818","subtypeA"
"24",0.00532977437011308,0.0416998515155187,0.0352345975293407,0.0381314433983732,0.0244750566774671,0.122686215146442,3.05415870221721e-18,0.0025572386300504,0.0247653826616333,0.0233536963186037,0.0127746143050579,0.129201280701555,0.0471155556484085,0.0362167539743406,0.0297425774194364,0.0210778695127515,0.059777750523986,0.0662303634091715,0.0676734319926863,0.0383958936509657,0.0235474276722541,0.018858296784652,0.0192925312041479,0.00989544353303377,0.00448669787868717,0.00535636583136236,0.0802062662708185,0,0.0204197288228136,0.086547823166615,"GSM3754820","subtypeA"
"25",0.0137759814079493,0.027988017663479,0.0410970505483464,0.0266240685972948,0.0565768201812192,0.111637732222574,0.00674645508730111,1.25359002026967e-19,0.0144784035769429,0.0528922007820204,0.0169896610338412,0.11432284197909,0.0408959814293682,0.0305256904628496,0.0212632847948646,0.024859066670885,0.0563432080028147,0.0570389455945308,0.0599054933597542,0.0140316215424359,0.0150451118607419,0.011287581845428,0.0230528101237288,4.67102633590281e-19,0,0.0157863574221486,0.0666446942864202,0.00305661706300227,0.0284612893562194,0.0837587175859036,"GSM3754822","subtypeA"
"26",0.00509155463007351,0.0426411193741882,0.00364823728770758,0.00974929380972725,0.0613113823969454,0.0571661137940044,0.0384931440357065,0.0187345849042803,0,0.0576847106056052,0.042828917929839,0.0646432406313434,0.0401939057630382,0.0160888789609765,0,0.0202240534388931,0.030983534510949,0.0113527579488014,0.0368476787004451,0.052479242276876,0.00386952673798125,0.0443106905531689,0.00913389022393371,0.00604434437183042,0.00058384702666405,0.0428312601776079,0.0299953625329786,0.0329389281154641,0.0268326607785652,0.0374385593142051,"GSM3754824","subtypeA"
"27",1.17313058439073e-18,0.0350194919213186,0.0140950645871911,0.0256806945024568,0.0759476805376405,0.057096229849983,0.0346380957824383,0.0419805832406185,5.47466624200949e-19,0.0570576438459199,0.0660000034001749,0.069140831507893,0.0332988695048448,0.0252311600393979,0.00752341481477954,0.0292438866969358,0.0246742469088486,0.0460323784659787,0.0288405115657956,0.0404670245491661,0.00937190782538531,0.0567819572483092,0.00487742182019626,0.00690308765058519,0.00673654594440203,0.0443762504016375,0.0394006675002326,0.0319110688777464,0.0811317330955735,0.0306105981448692,"GSM3754826","subtypeA"
"28",8.75175597153438e-19,0.019102692444293,0.0216550131729454,0.0251341103287189,0.0473211133809847,0.0862631621143731,0.0409651243352155,0.0340185544335948,9.17955143976571e-20,0.0758715193678017,0.0567544295861066,0.0859496791432594,0.0394215355036303,0.0124062108094361,0.00485964764205069,0.0277999089397488,0.0400692717398877,0.032548836531673,0.0466797749318136,0.042399216799833,0.0100651859167499,0.0311176525758401,0.0152692749925095,0.0173077096403788,0.00724473558678918,0.0259611794749001,0.0187365828688223,0.02773480176638,0.075445080164213,0.0545485132041665,"GSM3754828","subtypeB"
"29",0,0.0166224181477999,0.00269383825381569,0,0,0.0273769822047675,0.0549244580240762,0.0648891734414489,5.37687832493679e-19,0.0269718095783856,0.0603579792236984,0.0355485886247821,2.01276377879049e-18,0.00638513434405347,2.496416482602e-19,0,0.0144020283069088,0.0329166969981564,0.0326146440589197,0.0783507981978718,1.96239936968172e-19,0,0.000350874770423903,0,0,0.0338469619598764,0.0411753571179527,0.0184844775585538,0.0422165993347957,0.022558097979268,"GSM3754830","subtypeA"
"30",0,0.0219855776271461,0.021870724170192,0.0148961430519297,0.0592756127976332,0.060845047215616,0.0287597434088107,0.0551985362682127,0,0.0301521780030079,0.0787641794718221,0.0646959446533097,0.0235836451702865,0.00957682206924884,0,0.0420102890810195,0.0276125238791517,0.0293371133909888,0.0376876962273222,0.0419279023013892,0.00953413065379773,0.0653664935728199,0.00825442283682292,0,0.00434248567211135,0.059732316999715,0.00483058037255765,0.0159486046289753,0.0831092267176727,0.0498941745154426,"GSM3754832","subtypeB"
"31",6.83984789422282e-21,0.0207778597512095,0.0202691201900918,0.00989715965289072,0.105082030984704,0.0735861601972415,0.0364003504730957,0.0393484738992037,4.60059892695299e-19,0.0969465774567207,0.0961846615202085,0.0757280449870814,0.0364666775045804,0.0102442441942185,0.00511076779018742,0.0381097819710532,0.0332906685774477,0.020622709814991,0.0418713366785817,0.0747088963875447,2.6550129592965e-19,0.0547841311408192,0.0261633914505945,0.016061054547261,0.0311089480393382,0.0976769953414911,0.011984180554084,0.0483584940882645,0.124915248818893,0.0545845678952382,"GSM3754834","subtypeB"
"32",0.00874310704364872,0.0230293694684609,0.0489680814526465,0.0236431706628784,0.0228853104789297,0.0892161854986066,0.0181371980324385,0.0311632048320549,0.00759644110013097,0.0301560583307575,0.011504017746583,0.099389771083833,0.0130944531154295,0.027297810548154,0.0119222262332742,0.00493557566214039,0.0416920388826735,0.0578735181447525,0.0508750964616896,0.0373726077310372,0.0179351197217917,0.00882665966454312,0,4.70081189611475e-19,0.000534577597944673,0.0149647804674226,0.0688084406589763,0.0114293633479851,0.0459895269247191,0.049281248042729,"GSM3754836","subtypeA"
"33",0.00876210651217522,0.0535126016738108,0,0.00336965788980954,0.129563630545974,0.0215420291572301,0.0225299506771861,0.0416235450039814,0,0.0671914773127929,0.080144932035718,0.0359002956672022,0.0472997405406874,0.0120259537315713,2.48174930275754e-18,0.0524466258019831,0.00646981620848879,0,0.0160968707318035,0.0589224787824315,3.92410440316241e-18,0.100601565286724,0.0165886454297951,0.00553387508680234,0.0240944830391962,0.0641946667072009,0.000292808251930089,0.0470101343614185,0.130296425851968,0.0107710145786151,"GSM3754838","subtypeB"
"34",0.00331705426893531,0.0630543984655807,0.00362154991404174,0.0205351076893011,0.165889940505333,0.0349938755646927,0.00142470241003614,0.05848092987142,0.0101718981684029,0.13846528668322,0.0591208830978455,0.0733971564556378,0.0422573374928127,0.0253552442441088,0.0174192252563343,0.0283437339076726,0.0177766063842424,0.0523884500200378,0.0576186990434048,0.0959993197526561,0.00336971143941096,0.13044308164147,0.00406988846114592,0,0.0340236303066036,0.0737790613602594,0.0599753025822631,0.0545712153168131,0.12630809107017,0.0207449528223664,"GSM3754840","subtypeB"
