,id,gastritis_subtypeB,gastritis_subtypeA,title,source_name_ch1,GSE,Group
80,GSM1479656,0.266000048,0.583672467,Bhutan_normal_68,gastric epithelium in Bhutan Hp-negative normal epithelium,GSE60427,normal
81,GSM1479657,0.576882265,0.238891924,Bhutan_normal_160,gastric epithelium in Bhutan Hp-negative normal epithelium,GSE60427,normal
82,GSM1479658,0.305906522,0.521075055,Bhutan_mild_108,gastric epithelium in Bhutan Hp-positive mild gastritis epithelium,GSE60427,mild
83,GSM1479659,0.69838791,0.060911748,Bhutan_mild_143,gastric epithelium in Bhutan Hp-positive mild gastritis epithelium,GSE60427,mild
84,GSM1479660,0.584099693,0.296226046,Bhutan_mild_146,gastric epithelium in Bhutan Hp-positive mild gastritis epithelium,GSE60427,mild
85,GSM1479661,0.437375831,0.460978791,Bhutan_mild_140,gastric epithelium in Bhutan Hp-positive mild gastritis epithelium,GSE60427,mild
86,GSM1479662,0.435157616,0.441134291,Bhutan_severe_32,gastric epithelium in Bhutan Hp-positive severe gastritis epithelium,GSE60427,severe
87,GSM1479663,0.192336787,0.444834385,Bhutan_severe_74,gastric epithelium in Bhutan Hp-positive severe gastritis epithelium,GSE60427,severe
88,GSM1479664,0.335193241,0.495394614,Bhutan_severe_36,gastric epithelium in Bhutan Hp-positive severe gastritis epithelium,GSE60427,severe
89,GSM1479665,0.63185615,0.078058529,Bhutan_severe_77,gastric epithelium in Bhutan Hp-positive severe gastritis epithelium,GSE60427,severe
90,GSM1479666,0.658390536,0.15013272,Bhutan_IM_186,gastric epithelium in Bhutan Hp-positive IM gastritis epithelium,GSE60427,IM
91,GSM1479667,0.815615181,-0.015288917,Bhutan_IM_55,gastric epithelium in Bhutan Hp-positive IM gastritis epithelium,GSE60427,IM
92,GSM1479668,0.588342993,0.270711004,Bhutan_IM_164,gastric epithelium in Bhutan Hp-positive IM gastritis epithelium,GSE60427,IM
