"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"XLOC_006525",-0.0734689227050407,1.7160216161308,-1.72454049752208,0.0889403456507988,0.21691111020628,-5.35626782274309
"XLOC_007602",-0.190909552705372,2.04712418310356,-1.72447650946041,0.0889519592052899,0.216921432007722,-5.35637392248233
"RASGRP4",0.197788811026313,3.78014717428427,1.72423849125243,0.0889951694250528,0.217008798461953,-5.35676855293306
"LOC730102",0.108774365206582,4.71216766684218,1.72407887666273,0.0890241557934272,0.217061469381668,-5.35703316337454
"XLOC_l2_009790",0.0396074948558383,1.61013174845558,1.7240211400672,0.0890346428015807,0.217069029587926,-5.35712887405527
"XLOC_002299",0.137210988169872,2.64717097866308,1.72396124255864,0.0890455233819596,0.217077548000749,-5.35722816379554
"SHH",0.244826952950651,3.25842992730132,1.72376720674815,0.0890807781393475,0.217145480089511,-5.35754978754396
"LOC100302650",0.270964187982554,1.99025088382475,1.72327696206028,0.0891699028380795,0.217344704703117,-5.35836224361664
"ATG16L1",0.0944501773624697,5.16579196049196,1.72320657152856,0.0891827055997104,0.217357882912945,-5.35847888060942
"GNB4",-0.206638473492631,5.72271054648498,-1.72295066380653,0.0892292633155903,0.217453320368071,-5.35890288237571
"PLEKHO1",0.212138478768593,6.07126778107098,1.72250853652401,0.0893097473667973,0.217618363104715,-5.35963528640779
"HTA",-0.200942331786051,2.66717545839876,-1.72249728384259,0.0893117965634262,0.217618363104715,-5.35965392473379
"XLOC_013350",-0.157544751274435,1.78835619303773,-1.72226028188862,0.0893549653591511,0.217701167517548,-5.36004645580468
"XLOC_002708",0.158657564093591,1.74790356184357,1.72222937807069,0.0893605956092345,0.217701167517548,-5.36009763614879
"C2orf15",-0.103051207776615,4.41832635665295,-1.7218959297471,0.0894213638607464,0.21781342749743,-5.36064981195466
"NLRP1",0.180543025640092,2.91856421068244,1.72189519025662,0.0894214986646417,0.21781342749743,-5.36065103640927
"XLOC_l2_009811",-0.134550113190989,2.01207673423876,-1.7218176352106,0.0894356373299769,0.217829811855906,-5.36077945002698
"SLC47A2",0.265296792340594,2.31065248363903,1.72141755540004,0.0895086030461077,0.217989461035801,-5.36144180725839
"SNORD116-29",-0.216565557229337,2.0941707912729,-1.72113182130376,0.0895607445876627,0.218098372716459,-5.36191477136989
"LOC100652838",-0.195427716368747,2.38509945347202,-1.72096411197395,0.0895913602752923,0.218154850921393,-5.36219234023724
"OTOR",-0.227410692832824,1.86039881209726,-1.72082085060541,0.0896175197508524,0.218200469796027,-5.36242942658906
"Q9BQU3",0.109945360819342,1.66159426984379,1.72061489940267,0.0896551373709848,0.218273977057286,-5.36277022791766
"XLOC_l2_004385",-0.150517241620568,2.15212022689959,-1.72040595053593,0.0896933157892815,0.218348837343887,-5.36311595135979
"TUBB6",0.236331561959058,7.16114861212488,1.72027354248347,0.0897175158508716,0.218389659225165,-5.36333501161806
"LOC100507299",-0.23416735374358,2.82635016858262,-1.72017932559191,0.0897347390280599,0.218403295991281,-5.36349087771831
"RGS12",0.123178554298513,3.70246823081109,1.72015890149504,0.089738472982828,0.218403295991281,-5.36352466493791
"MIR4500HG",-0.17318548559184,1.73041817031118,-1.72012094168066,0.0897454131751297,0.218403295991281,-5.36358746020282
"XLOC_005957",-0.119015763551956,1.74545705771738,-1.71993621608187,0.0897791928520407,0.218467068767091,-5.36389302551655
"XLOC_010001",0.182767209817002,3.44915573001211,1.71989633957559,0.0897864862041963,0.218467068767091,-5.36395898359598
"EGOT",0.0864850189793982,1.63646329447055,1.71966149741331,0.0898294483582455,0.218553508432165,-5.36434739777909
"XLOC_001935",-0.119761375379292,2.74247151814568,-1.71956628394348,0.0898468715763589,0.218577803136261,-5.36450486098293
