gene,logFC,P.Value
XLOC_l2_008124,0.948523220179456,1.39338540465657e-12
SNURF,-1.03923683701376,1.45326962453561e-12
LOC100306951,-0.619447004035063,1.47836026062723e-12
LOC285141,-1.10502322128934,1.4807628310374e-12
C21orf30,-2.24247140523247,1.48277365259404e-12
ASPHD1,-0.930952120431639,1.52697231994439e-12
ZNF204P,-0.763961101520112,1.5358156100617e-12
OR52K2,-1.94391977646303,1.54947831412349e-12
XLOC_l2_006027,-1.63717976397396,1.58707904362269e-12
XLOC_011486,-1.70051468914769,1.6105686448788e-12
ANKAR,-0.567711031901691,1.61584090912606e-12
PSMD1,0.457305612230888,1.71173431762694e-12
ST14,0.54871575142345,1.74914473034296e-12
ND4,-0.783563244615943,1.76570527753698e-12
GTF2IRD2,-0.56023349726515,1.76861219372794e-12
XLOC_011294,-1.14710568359815,1.77675836849282e-12
CD58,0.701764839538987,1.78474019243832e-12
ZNF626,-0.679645424962865,1.84646570418094e-12
C19orf21,1.49597902065277,1.87101882828531e-12
XLOC_006757,-1.99527874661944,1.88825238909464e-12
TM7SF2,-0.962764277184188,1.92349016082553e-12
LARP6,-1.40546732209845,1.92385222759999e-12
FXYD4,-2.46125182673445,1.92591177509896e-12
ONECUT3,1.51442452903227,1.94863407676636e-12
EIF5A2,-1.24249947640792,1.9513651521995e-12
ATL3,0.605590757450802,1.95551018598577e-12
SCARB1,0.593631039858829,2.08797279747132e-12
CCRL2,1.14528715536595,2.11436527108123e-12
CA9,-1.29953163232,2.11643774504441e-12
FAM54B,-0.435654406040925,2.11812855247291e-12
PACSIN1,-1.65098720724981,2.1207855412372e-12
XLOC_006689,-1.59146756126423,2.21495944711358e-12
XLOC_l2_013737,1.05168888815929,2.2379738735603e-12
XLOC_012210,-2.12172692301119,2.24594337336462e-12
LOC150622,-1.71852989554344,2.27061011121298e-12
RNF130,-0.556845535686871,2.3214142760428e-12
CXCL16,0.636930442893777,2.33656321870372e-12
ANXA4,0.575582456755139,2.35165491726826e-12
RIMS4,-1.45808324111491,2.35856380432959e-12
CALML4,1.12976131277498,2.58035147233391e-12
KCNIP3,-1.42992109845279,2.61275692015737e-12
PTF1A,-1.57536870595283,2.67184650717129e-12
ENPP5,-1.69066673109592,2.70373020965774e-12
SNTB1,-1.07610006239752,2.73218419980591e-12
ATP4B,-4.4156028859971,2.7489256610401e-12
EPB41L4A-AS1,-0.578064410113038,2.76501635957483e-12
BAK1,0.710334599385,2.85960917079488e-12
IGFBP2,-0.832558117246016,2.86140181145909e-12
TWF1,0.359955028121115,2.95970525422891e-12
HS3ST4,-1.01244714854201,3.13483969364824e-12
LOC100506090,-1.54538210469239,3.19718084531874e-12
S100A10,1.20632845875124,3.23350317134864e-12
XLOC_012829,-1.5865945459731,3.32204080887657e-12
LOC339352,-0.488072804842647,3.40295949498643e-12
LOC439990,1.1590244566363,3.46514288330534e-12
DUX4L9,-0.678496607260432,3.56238235855743e-12
AKNAD1,-0.917434994934888,3.59031450228803e-12
SLC6A14,2.35512460630824,3.7156841589144e-12
NACC2,0.563984044336549,3.73314248993027e-12
GPR37L1,1.1486750859006,4.25076525848228e-12
CACNA2D3,-0.905067119053702,4.28626387990114e-12
TNFRSF1A,0.498009853058428,4.33931463965473e-12
CCKAR,-1.62933930127738,4.34715025868383e-12
LYN,0.812723246913949,4.37722581605683e-12
ODF3,-0.816399568054456,4.6094723502328e-12
LOC100505601,-1.28410100464129,4.61403863807952e-12
TMEM45B,1.00793455873034,4.76160859535267e-12
LOC100506965,-1.17936036216655,4.84596683083105e-12
TBC1D7,0.409016221270194,4.88840106601092e-12
RNLS,-1.53515774343227,5.08748048234716e-12
SLC1A2,-1.52408790432155,5.10406388998208e-12
NPHS1,-1.48983607299868,5.17288501487432e-12
ISY1-RAB43,0.621771456147668,5.30477229074939e-12
LOC100653103,-0.796399338262884,5.39220237767579e-12
FUT1,-1.27159861300494,5.49337189389297e-12
ETS2,0.950281542478025,5.55313071849095e-12
RTDR1,-1.36494630771997,5.5567046418547e-12
XLOC_l2_013480,0.96623970463085,5.73439833215219e-12
CEACAM7,1.66753536045697,5.74327426442632e-12
MFSD2A,2.12900700970625,5.75583765015216e-12
PTPRS,-0.784730378529644,5.80506085188031e-12
CYFIP2,-0.957597332147375,6.02338456225974e-12
ERI1,0.602115550561161,6.08123076280845e-12
AFAP1L2,1.10162272721968,6.12077284002566e-12
HSPB7,-1.0208510041676,6.22311168778466e-12
RHOC,0.704730602148391,6.43663841476344e-12
SFT2D2,0.636058635888305,6.45260505095338e-12
HNRPLL,0.448182743111309,6.65281627462018e-12
TBC1D1,0.548066109136566,6.65868685321413e-12
VTA1,0.49704558497887,6.73816807037394e-12
CCDC110,-1.24857844691996,6.79743818377789e-12
LOC100128131,-2.16386416380712,6.83820181459417e-12
C7orf41,-0.930421420961874,7.01849044120157e-12
SNORD116-19,-1.07156738700083,7.02063084314875e-12
ERBB4,-0.874938310288395,7.10318898645803e-12
GHRL,-2.53593909749859,7.36417556963961e-12
C11orf85,-1.63821871572077,7.67618622452236e-12
DCXR,-0.70018778296429,7.6892082256524e-12
XLOC_011184,-0.588491609468969,8.25151663818499e-12
REC8,-1.26582815859573,8.36086665767453e-12
NAT1,0.866219054848545,8.53325737469704e-12
HMOX2,-0.509739002524256,8.61962701629063e-12
XLOC_011754,-1.66074453698526,8.70401732286187e-12
XLOC_002302,-1.87238928899337,8.93534011947591e-12
SETBP1,-0.845139095849826,8.95072616764886e-12
POPDC3,-1.59436695137283,9.16737151987357e-12
ANKHD1-EIF4EBP3,-0.50779458843594,9.32776864545771e-12
PTAFR,1.34754055588938,9.66014868445411e-12
LMAN1L,-1.43907616892528,9.66372197439396e-12
PARP12,0.698183339804386,9.70827576780258e-12
HMGA1,0.704396923699464,1.00696644031391e-11
PP7080,-1.67103828706896,1.01418218461945e-11
GABRG2,-1.60175583785275,1.10927153153225e-11
GRK6,0.326652570042945,1.13337496377662e-11
LOC100507656,-1.96733316997999,1.13647278310212e-11
GCH1,0.694789821955651,1.15432862925167e-11
XLOC_l2_012552,-1.48665136569749,1.15811865977655e-11
HBZ,-1.11208761646961,1.16853910853206e-11
PDGFD,-1.13993847604189,1.18992327141674e-11
LOC388242,1.12087723595733,1.19093110639322e-11
CHAD,-1.85348848264361,1.20667333746482e-11
TMEM211,-1.33051971893174,1.2133275891596e-11
ANKRD24,-1.823821176831,1.21855337470999e-11
B3GAT1,-2.52032017283472,1.23031462907141e-11
SEC23A,0.738280015213725,1.26606565278945e-11
LMAN2,0.427101953127498,1.28224684009474e-11
DGKD,-0.852687063084479,1.31968396722135e-11
LOC100240734,-1.30160693693117,1.33789770779932e-11
LOC100131034,-1.11354316632812,1.34145805631539e-11
LOC100505974,-1.5108058955473,1.34874573187235e-11
CPA2,-2.92507760711344,1.3572385210297e-11
LOC388588,-1.19282360411725,1.38002569067837e-11
COL2A1,-2.53774029323229,1.38994868394728e-11
ZCWPW1,-0.602027863533189,1.39354251142015e-11
BEX2,-1.34655162888948,1.39768356081385e-11
PDILT,-2.32577153565007,1.40242495601452e-11
INPP4A,0.898781548173265,1.40515524145053e-11
C14orf1,0.547169158196202,1.43465293346501e-11
FLJ33630,-0.514697347836385,1.44464042689717e-11
NIM1,-1.15241636469404,1.45678945172608e-11
DIRC3,-2.08149578416938,1.4684585142895e-11
GSTA3,-2.17926800871872,1.47779095604758e-11
LOC100506802,-0.829814821816837,1.48078228382582e-11
ENOX1,-1.28974847959515,1.55021998677135e-11
FGFBP1,2.45057349020088,1.55086496391121e-11
ST3GAL1,-1.12625786851369,1.55382802572124e-11
LOC100506548,-0.545347556534648,1.56064372822937e-11
